gene,memory.CD8.T.cells,naive.CD8.T.cells,naive.CD4.T.cells,memory.CD4.T.cells,regulatory.T.cells,naive.B.cells,memory.B.cells
FRMPD1,23.0636562691111,20.870136924769117,28.225232722508647,25.688764946524014,23.007338143221027,24.20994336014328,24.711696465105124
FRMPD2,33.91250539289071,20.904344543840743,14.76426353272562,29.141889337087427,16.624285363620874,21.680559285731903,20.01615403475313
FRMPD3,46.27523528933791,24.141333869028,21.864799272266918,23.70032202689538,27.458004551940427,77.32741350059159,37.315213632544456
FRMPD4,21.012031226015655,20.26189032356164,16.49548976256408,11.269093701209076,26.286232045281146,20.310479564339175,18.020057397109902
FRRS1,13.467776158444552,17.756144064883202,67.73631804252042,25.23896620803442,11.235861620674273,41.546439725684614,75.72401016335732
FRRS1L,21.624321506603263,34.87469863112936,39.0417382848123,34.88849442558126,44.63375599754904,43.54705851807326,52.03804719271735
FRS2,289.90182516916724,328.55292633678283,130.4921112510361,310.7765958185436,408.89193278662384,413.82903231175203,369.01407098599606
FRS3,127.09064992792969,129.63437847891788,127.46275221896501,152.61194045498857,155.31047001001374,160.92531325949398,139.7440028574562
FRY,78.28572918551687,42.945691628275206,68.32527799555443,450.32474009749967,34.07920419629074,62.48511387770492,104.01867001894165
FRYL,660.1377074669734,573.5713551711361,287.868281101211,783.8997802873757,824.0368462882627,566.5447238720453,470.13610329996214
FRZB,16.765215700528245,10.716590783736637,10.624531445892712,9.831919717407954,11.235861620674273,13.920917207611515,15.109274662994405
FSCB,8.487966057972688,6.934983984342712,13.488941453569426,21.389797092498156,11.562139915356353,13.563161371994841,14.02231836359789
FSCN1,87.15956113455437,132.9514846031418,131.43900536668764,71.50962732163548,93.99833923312192,179.49588864275685,183.7455430968539
FSCN2,112.87554674739758,112.66592061689248,62.76798343179764,50.964012632415994,36.58847328956812,146.8722881268166,115.77424896525642
FSCN3,28.24427812998884,25.09631436537457,15.54761871506349,15.869194606790034,35.78468906494906,27.183589210604488,25.966747627979107
FSD1,56.307235372974525,60.6739790062343,215.8083625468128,69.30214405860565,101.55367526529656,63.06705402888645,57.142658668519836
FSD1L,9.492403372908045,8.782944927248076,25.027482915139615,16.54029336164548,10.60593551595044,34.96860911655104,45.66569185405512
FSD2,26.055821502567238,34.30989899025686,20.30132654595101,24.73133580057884,18.440897644532242,16.019013503499757,16.327079091733204
FSHB,47.29613600947122,41.31216998512299,19.36981871550011,21.352006589033007,19.585534902145785,33.365366263278695,35.05242284498937
FSHR,15.604511415313029,18.82477243325107,11.52470718293951,15.540993984835689,22.21047498318352,18.716348203513775,19.86438286227492
