gene,T.cells,memory.B.cells,naive.B.cells
CPED1,25.407659520402785,50.96605159093034,38.26775892412582
CPLX1,6.40728772550639,6.34490997004833,5.945571611413996
CPLX2,16.482853250547375,11.57884342008647,12.874650870351417
CPLX3,29.445714751610875,26.140865059726007,21.791967291481267
CPM,30.075733223426358,19.96871057788162,18.234613932212707
CPN1,23.13896742278136,19.74764405393606,19.362933639167093
CPN2,6.32871863761996,6.62176321044216,6.851231035195479
CPNE1,101.49557727843539,184.27572322007734,152.0595268880367
CPNE2,15.636247807951207,28.63548237495684,22.154705885076922
CPNE3,183.2018076772966,284.45014651604225,178.12985913251714
CPNE4,7.465793301512385,6.317641388546164,8.390614148524959
CPNE5,12.850465983463215,251.7008485874012,195.80814954565665
CPNE6,45.04715318674466,40.12870532206941,32.67817225998178
CPNE7,53.68954418067484,48.80515143051332,34.767868641144055
CPNE8,16.950909748354665,13.714593389269561,12.77674630355016
CPNE9,21.84497966666496,28.182555289921357,31.531672154592556
CPO,10.736307414751439,10.994421983443928,9.085961524321256
CPOX,89.94279201098122,125.54627897328203,62.0980984128586
CPPED1,34.524166654207384,36.68742845705429,33.896282644061976
CPQ,40.44410943207172,36.83973563343623,26.1316133957171
CPS1,10.275915907607263,9.961392134412561,10.626048514669057
CPS1-IT1,20.9380153513392,24.26847326974057,17.664385895102402
CPSF1,70.42702307939693,65.46725657413448,76.04663214892746
