Symbol,B.cells,CD4.T.cells,CD8.T.cells,monocytic.lineage,NK.cells,neutrophils,endothelial.cells,fibroblasts
TMEM262,44.47759743119423,45.945796785272876,41.53552320114782,47.648103399024954,44.882153944401146,60.905931566508144,35.735794,42.5
TMEM263,11.60008569914156,16.017330494268993,15.279702939413907,11.594874915096387,15.61786537158436,11.684795254447772,35.99597,30.0
TMEM27,11.492409490839874,11.28338042745125,11.518997461038516,11.655399546094191,12.654194872291022,10.891006324438202,13.880885999999999,19.4
TMEM30A,50.41091756902136,39.69965326934821,46.2141068048788,74.13598620714828,52.675608561689764,191.32153445852714,290.24426,1526.4
TMEM30B,12.784106917427712,20.57971478419017,17.65309164550057,14.13355509873615,16.185954881893128,16.56821131042449,11.795666,2.7
TMEM31,15.316636639308786,15.560382148277869,13.44094169039196,15.405669295514253,15.560382148277869,24.924895857355168,13.411771,26.3
TMEM33,13.591679915627598,17.36194276765271,15.722687335041597,16.859008480657884,16.14525611592457,18.424007613124797,14.670848000000001,54.8
TMEM35,12.483655655107842,12.27053774295681,14.06459677423601,13.325961272840791,13.50637799897268,12.833530075030321,21.220942,55.8
TMEM37,12.900466585493106,15.795958130198883,17.49794326366299,13.656996674969033,15.688122272079404,18.515242756426627,18.744204,2.2
TMEM38A,80.81217254222047,54.306463101513835,56.3887417837051,78.89434279418802,53.67912195097232,101.27988375159467,91.306145,13.1
TMEM38B,83.34817263347755,43.97056657486098,41.6074758733741,44.22978840096761,40.158356369573276,15.134752636711825,173.27626,62.7
TMEM39A,24.778026740499268,20.359055452088278,32.90162452852621,24.371827573453302,24.34031637882532,23.133204462555206,50.714259999999996,17.6
TMEM39B,127.95632298063819,137.10105209165687,85.28308662596132,143.0493823932513,93.34647101742136,44.12215000017122,825.9889,75.0
TMEM40,28.320972857851803,27.866682643686634,24.627876246716603,126.67302969377243,24.64332945458556,27.42919528925193,37.416396999999996,8.5
TMEM41A,91.10677172372039,104.68433171739117,101.94701345539768,67.16665567829997,131.23892929848117,38.78318903276393,220.7554,193.2
TMEM41B,287.49089673373084,242.80640856320667,394.3477343371482,144.88734208122025,283.7003828727239,159.10255423605517,790.0918,573.9
TMEM42,225.26856713075594,293.4361826431678,246.0517766786914,169.1577195715193,176.27340700447692,50.921796072520884,403.96133,172.7
TMEM43,30.528832756952493,38.09998066007158,29.381170433882772,36.52919271450798,34.49277054445492,37.92004241348438,33.009457,2.0
TMEM44,27.54118978477592,19.950842593965266,31.338962136914013,23.46030986798611,21.922644429924613,28.366801205195436,155.02107,47.4
TMEM44-AS1,28.02711348850231,25.881679774137627,25.289996524122866,29.405884814700645,24.716302414287725,33.36002478926646,140.13527,73.7
TMEM45A,14.798414213569082,14.182333318234404,13.1816457804897,124.6241644519899,14.070115106643579,12.524544862799276,339.67752,1507.7
TMEM45B,13.119985780273575,43.093188156332204,15.226483884949689,13.584184169553922,13.496415941167484,50.18448075640692,10.798917999999999,10.2
TMEM47,12.190906844974679,12.508918008021997,13.285820400629738,11.93675719650555,12.852897816535346,12.16909338271369,73.35767,4565.2
TMEM5,103.42593717985594,57.89912747562039,71.06633407695146,27.714829044326756,56.62550299630193,12.517568467429653,84.36579,167.1
TMEM50A,937.2803360779814,1188.4513519426716,1424.601899659484,1661.713010770686,1430.7612445419916,2032.6985436328698,1490.1774,1167.5
TMEM50B,14.280855510654984,16.66537475760983,14.619008841389498,13.37242207115776,15.011517971147939,13.23742364864676,12.964113000000001,6.6
TMEM51,21.10803321647639,20.87379409495314,22.91034395123287,30.177845035658976,17.26100694541267,28.165024799810627,299.60904,54.9
TMEM51-AS1,13.962996970059011,12.60557902639132,11.342473484179472,14.424199924719938,13.211309167451722,13.715434151488594,12.641796000000001,1.1
TMEM52,17.856798024124387,18.741207904713267,18.19052256769231,19.212622632508754,18.099679779237047,33.541911493929014,40.184296,38.5
TMEM52B,12.174580356387331,12.53503098840771,11.997715676805626,12.121412711305874,12.42206527501072,13.545023764474559,9.158453999999999,10.7
TMEM53,28.2718559815205,24.749549636654017,22.72833378126439,31.01284727026456,25.856060424136846,34.1801253826983,47.098248,1.9
TMEM54,24.068830576110077,30.114859326314722,26.517681783673,33.03658781775821,25.474614255856444,39.96336362820257,159.0952,117.6
TMEM55A,78.58325425738542,97.19124565981026,73.3080614025443,659.0883101468519,66.78905174688812,756.3533001863603,74.695206,374.5
TMEM55B,487.75871658664767,373.32412188174095,388.66024342742935,242.2443175990458,345.58679737145536,313.8354882419028,360.32583999999997,174.9
TMEM56,14.633885556715063,10.727425007460443,10.820555920987779,11.545019961204812,11.459769457578677,10.977372858377542,8.007374,0.4
TMEM57,103.34187191424219,90.68748394816733,99.40003716242322,57.641517179638534,89.54760769400677,22.65011320070001,375.61606,138.3
TMEM59,34.90247888699352,30.240024704605325,42.70327208076355,16.82723382810009,57.52870086316865,30.530622148668296,10.071304,7.8
TMEM59L,56.5139676514115,56.5877087312738,69.64229763707863,67.25877783999931,48.23297327928587,76.03545855880516,108.63346000000001,67.7
TMEM60,758.1018996595167,416.73237909012164,395.52950026573404,691.3141165638735,355.47627204046535,617.3820259925753,587.3281,608.3
TMEM61,23.437535626948858,23.699796744865747,23.072149102884257,24.45972328896109,23.696462286335564,63.787948063700306,33.800926000000004,38.1
