GeneSymbol,naive.B.cells,macrophages,Macrophages.M2,monocytes,neutrophils,NK.cells,naive.CD4.T.cells,naive.CD8.T.cells,regulatory.T.cells,myeloid.dendritic.cells
SMARCD3,4.590719001,15.60686326,10.64328268,152.811686,23.71393483,6.817276869,13.80666119,22.87221043,4.584674174,20.93367844
TMEM170B,2.456938978,24.65674259,8.888624445,77.18495682,10.91760696,2.956442294,1.551467421,1.949949272,1.40404642,30.73609947
ABHD5,2.40329154,30.15718585,13.18050195,18.57331133,68.06938952,6.904929282,2.470459214,2.959827833,6.423744668,9.247587218
ADGRG3,0.131466149,0.47230426,0.152058296,0.538263294,571.8977081,18.2908053,0.073360799,0.615943843,0.376632586,0.305176851
BTNL8,0.368149861,0.302261559,0,0.8007572,104.9565807,0.479883817,0.158883147,0.228664581,0.389246031,0.691525632
C5AR2,1.187522873,25.22538252,11.69116877,26.29871997,214.8734635,3.387687932,0.962839428,0.73119537,0.473999219,66.17316668
CEACAM1,6.879521337,1.944790315,1.36810402,2.961918729,74.50430593,4.668922452,5.689183189,2.808894575,7.140745359,12.06114336
CEP19,2.696606349,2.636609916,3.264929956,3.019708674,61.57667118,5.066692348,2.665708149,2.486243367,4.245229087,6.178740863
CYP4F3,0.045500248,0,0.142043524,1.689874916,245.5085077,0.105992781,0,0,0.199876431,0.226025183
DAPK2,5.071340075,1.131044397,0.816545663,2.230794791,100.4133511,6.805567378,1.379199836,3.265025968,2.773971947,1.971278997
DGAT2,3.821587238,7.676443266,6.218617167,6.584440592,327.4938051,0.284534171,0.105764334,0.199429446,0.186774694,4.246761585
DOCK5,0.787872939,24.7899,14.62689541,24.05014379,147.7404981,13.98731154,0.315693156,0.373828745,0.934168568,83.28390712
DPEP3,2.592600038,0.533960079,1.938348763,1.666117119,34.80861675,1.982682777,1.055980449,1.334944518,1.094736693,2.377657397
DYSF,0.141021184,14.91942442,7.23975607,43.5038035,333.7014482,11.38401282,0.103514194,4.161429775,0.21227115,3.486807984
FPR2,0.088849385,41.6179915,4.475746972,39.24812806,669.0959971,0.681174082,0.051370453,0.028944371,0.116065287,32.35786318
