ID,memory.CD8.T.cells,naive.CD8.T.cells,myeloid.dendritic.cells,monocytes,naive.B.cells,NK.cells,memory.B.cells,regulatory.T.cells
CLDN12,0.07240020237001657,0.10664142116214934,0.1501865880967358,0.07779733539638296,0.3284155541430321,0.11133348851547388,1.4541184548551522,0.12984775831495726
MMP14,0.12380458726351057,0.46028304494609207,0.15969146008667107,7.037241552269051,1.0682716277144801,0.0,0.6538252141364884,1.6589113973480925
FZD1,0.0,0.2047438057568195,2.2025078048495916,0.04601349361494898,0.7493856771046427,0.0,1.8339235966252356,0.0
GATAD1,1.1613969132249342,1.914004923588956,4.436535432907403,8.568437161599947,73.21781969699073,8.327649634539336,75.72502077052374,11.762071211172088
SUSD3,9.139097367529393,18.35100192274928,6.279993121997234,0.0,0.23449635957958978,0.0,0.270771862322541,0.10013380477386476
TMED6,1.805104524219902,0.7468155431749034,0.33659197710985594,0.0,0.0270833824830752,0.25565746745611734,0.0,1.5738007601024948
CLEC18A,0.12256419713721378,0.23343924065208935,0.2853241440525177,0.3506710620700363,23.205593038616307,1.8901000691608234,3.193469398413281,0.301009760950301
DHRS4,18.552670915019338,18.761413647297164,29.899376402698017,0.0,10.60661966172066,10.656177836650125,0.5843992620684629,2.917503976847321
C1orf158,0.034838904307600685,0.034151694040517856,0.1908094280244304,0.01849559898113034,1.176074028419632,0.04351956544740336,0.17331973633438044,0.07747143865960057
CLEC18C,0.19894855482935278,0.00315746034449247,0.023030373393925763,0.0394596830886897,5.978310578575279,0.9813587891397538,2.8512649350501387,0.19126465678662297
ARMC12,0.0,0.0,0.0,0.0,0.12600059348187317,0.0,0.4060118848936152,0.0
DDX19B,18.0707184597006,14.657494964605975,14.458927940903937,1.8358352622478225,8.268024417462465,7.298087900564685,15.809763311795045,3.9513185693446946
ST3GAL2,0.9959773043657841,8.630537866779836,1.5794815313969286,8.210160479817636,21.72154896193244,18.07344056292355,9.719657472350876,14.853501820753104
FCSK,1.0752185554219134,1.9847499895988934,3.086299910265917,1.2589604279823952,13.753901824816888,3.78126300015915,1.4771854737575563,1.079316639628348
IL34,0.0,0.0,0.05657064543044826,0.0,0.014471197426523245,0.0,0.08853726687803172,0.007887391942355777
DHRS1,17.953845462198203,14.218775418046993,22.489130463740917,1.6197342695129244,8.580098815796182,56.29813850756335,54.591261132060296,6.134154315139523
