Gene symbol,B.cells,CD4.T.cells,CD8.T.cells ,NK.cells,neutrophils,monocytic.lineage,fibroblasts,endothelial.cells
GUSBP11,8048.07448,587.5664324,521.3361484,410.0921718,277.7647569,43.51505491,30254.0679,6.401562035
GYPE,38.71816582,8.008517109,26.87927605,40.65904769,14.23666653,6.627731906,35.67150717,7.19407517
GZMA,204.958358,440.9534741,6301.839315,36040.77397,334.8696127,132.0433731,91.85142742,95.37711154
GZMB,102.255299,85.36127082,2080.697741,38512.20291,154.330993,61.71915165,62.71521001,136.87295
GZMH,21.35853068,198.9335618,8555.821981,19308.83695,41.85793547,36.90093477,41.24636078,24.82219085
GZMK,184.0395826,1423.65694,8814.387272,2200.868653,421.2121304,67.13748264,100.8148697,69.54165218
GZMM,6.305414565,1215.533292,1048.989355,6387.677369,65.82671625,13.20630847,12.3063871,17.49904782
HAL,380.2322774,61.60426486,84.17530879,195.7242737,3105.095231,877.1793038,108.9091177,102.784423
HCK,273.5706061,107.2851313,106.4569423,575.8691693,7443.161769,7368.002228,130.5834263,3576.179245
HDC,147.9736788,18.24228689,123.8596636,351.1581798,150.6140872,129.5522336,310.1156544,114.2614669
HESX1,6.869435614,8.172396024,7.046990167,17.63615712,7.283926945,8.365084929,9.073509293,7.285721879
HHEX,4489.488986,83.41360206,139.0353705,448.739652,946.2641209,1914.137567,93.42592839,489.3080097
HIC1,5.092351833,18.79636185,8.159927666,57.50604315,7.476611925,7.017818913,6.795317032,6.432515224
HIST1H2AE,35.26722995,30.34545814,29.91298037,21.04675291,22.11671753,8.28188422,277.7164299,6.633607497
HIST1H2BG,17.44318854,138.8837705,78.31604621,79.59020575,45.19348156,23.39236935,689.6460957,11.49352112
HK3,12.94364358,25.374709,21.81413027,254.9130797,1255.80611,3103.136582,13.29827708,3713.557866
HLA-DOB,6607.334733,54.34069564,212.2757519,418.7450706,96.88647987,102.1825691,4287.536344,49.6673024
HLA-DQA1,942.7749076,122.6942485,173.4117383,434.1428397,218.2099668,275.3534268,161.7246112,874.2342868
HMGB3P30,30.97425375,3.547906137,42.79987867,100.8734976,76.9105534,27.19577484,36.51263796,39.38790361
HNMT,61.73602193,10.96771886,19.61866274,40.49764287,29.96288574,815.4265044,28.54732378,774.9294257
HOXA1,12.90856012,13.26159685,12.85536224,21.37767708,17.61748588,10.68723722,9.656741815,12.91531933
HPGDS,203.7910498,88.13751751,83.72110944,326.0144256,219.1322864,36.75265198,125.9523542,239.7846459
HPSE,30.8024485,132.3282146,55.34751097,84.86152133,973.4037642,1285.833086,32.74521328,61.93696691
HRH1,206.5394742,26.48229454,75.97436695,96.54650813,227.8748322,72.1745748,161.4809975,217.6585736
HSPA6,70.64960056,89.65418124,106.7169109,468.8695134,3303.08264,641.2142131,17.74602894,22.41022369
HTR2B,6.171513508,11.3103513,22.71063607,37.93061171,7.446654092,13.85052231,26.40774882,6.900538825
ICA1,191.4053509,149.651559,134.2533776,268.9957425,309.3789708,183.2555042,209.3903648,198.8629383
ICOS,6.458825767,1018.135876,194.1905981,35.08551452,6.199101199,5.362446048,6.147205936,4.485992218
IDO1,241.0650179,192.0869901,241.3331484,1338.825758,527.4082419,269.4662793,345.5621343,338.8974249
IFI44L,24.57422621,147.4365503,84.26221988,613.7155762,74.97678161,307.8493777,52.98873326,12.5901686
IFNA10,63.51120873,14.25566764,12.57137446,21.73044342,20.7783228,13.10429637,31.21088513,10.54848621
IFNG,233.2462403,107.3272359,249.0786281,3822.585286,187.1620872,108.1486375,137.3910104,105.0542732
IGHD,10811.41236,125.466199,62.3476822,54.26950105,79.25564732,50.4303708,21173.52695,44.70050298
