Gene Symbol,mix0,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9
CDRT15L2,4.187610269,4.259109839,4.16222346,4.202072283,4.071831162,3.923464131,4.19828228,4.254341474,4.200177281,4.271247989
CDRT4,5.887386045,5.591973635,5.838749409,6.054618553,5.822258899,5.931557524,5.871188145,6.053294252,5.960064963,5.514698407
CDS1,5.541348274,5.949395651,5.855832632,5.471471391,5.690851949,5.872137696,5.793196123,6.191483051,5.202858855,5.64989445
CDS2,7.939510948,8.028413445,8.307033854,8.201021258,8.187395218,8.134292316,8.179681971,8.291890034,8.057775875,7.997631064
CDSN,4.792294608,5.070299088,5.068405632,4.919112104,4.889661504,4.890425097,4.935633269,4.946799904,4.709465585,4.886081992
CDT1,7.863527466,7.688442938,7.706286176,7.487707357,7.698909375,7.808038081,7.840627327,7.690372649,7.573759132,7.835367661
CDV3,11.57025219,11.54172227,11.47587439,11.35913906,11.54141369,11.55883024,11.4947925,11.36744037,11.51251882,11.72166824
CDX1,5.785446147,6.138145679,5.807904534,5.797238664,6.10288141,6.019675948,5.856239199,5.986144699,5.864122308,5.918361538
CDX2,6.100211047,6.42243922,6.141087333,6.136663455,6.100637055,6.1797656,6.043034947,6.070388475,6.085431355,6.197977003
CDX4,5.639015302,5.525186244,5.402670577,5.431368632,5.502056022,5.431471501,5.393203864,5.392527563,5.343691863,5.396770442
CDY1,4.060130781,4.141408193,4.268561233,4.052024447,4.270359526,4.080578017,4.19451192,4.157211628,3.948769726,4.095369029
CDYL,8.677806924,8.633980595,8.161377936,8.124584035,8.504103576,8.583276938,8.348407893,8.366389433,8.286441908,8.625851855
CDYL2,5.083929606,4.999841408,4.949432578,4.942875478,5.160835882,4.991717142,4.967239929,5.164349646,5.509944979,5.051639928
CEACAM1,6.279774601,6.751880246,8.059551504,7.337625681,6.952438664,7.004607165,7.758605929,8.015935226,6.38920033,6.488597406
CEACAM19,5.738393007,5.983573975,5.942441609,5.723706017,5.962511708,5.944725539,5.789596376,5.916365348,5.945297534,6.045341323
CEACAM21,6.5801678,6.599169698,5.49342997,6.291854677,6.199176784,6.837700622,5.900041671,5.779052298,6.500147856,6.355460911
CEACAM3,6.237637175,6.295807472,7.954006428,7.228102913,7.022936643,6.987820547,7.422979688,7.900600729,5.764519055,6.631049954
CEACAM4,7.009947343,6.6472311,7.656109609,7.153209095,7.330265585,7.212105121,7.437024194,7.724201518,6.70902442,7.516426497
CEACAM5,4.596323213,4.846967686,4.735401908,4.849926574,4.701484005,4.832311372,4.944097748,4.766555679,4.859369666,4.818177892
CEACAM6,4.244305187,4.348404673,4.952158565,4.390544079,4.248392029,4.319957308,4.394838612,5.184532315,4.18062372,4.335878204
CEACAM7,3.628629033,3.792305083,3.805631234,3.812555103,3.783428825,3.827581771,3.741191314,3.882401754,3.66701694,3.695202115
CEACAM8,3.864499351,4.092885377,5.864128241,4.742477527,4.535161327,4.498800151,5.117906226,5.633723405,3.970112711,4.354813627
CEACAMP3,4.700978263,4.605015358,4.602445531,4.558096894,4.623580789,4.646511433,4.72757228,4.371460165,4.345040176,4.568710172
CEBPA,7.261921127,6.759396207,6.674135714,5.793662382,7.753246402,6.985031492,6.738881334,6.960436998,6.947465972,7.799875692
CEBPA-AS1,6.911842936,6.901955912,6.936306286,6.740880932,7.012892374,6.834953706,6.978870457,6.713617183,6.888310323,7.101378865
CEBPB,10.35089801,10.14178907,12.49834046,11.61533447,11.11278273,10.75706739,11.62236234,12.4342993,10.05315885,10.88439167
CEBPD,9.518304205,8.779501407,10.16149675,9.17387512,10.22943413,8.887311838,9.41082544,10.15690054,9.227499306,10.12962138
CEBPE,6.553594135,6.453006673,6.359758853,6.410186833,6.719019107,6.439256967,6.460087184,6.231895177,6.607033726,6.78534115
CEBPG,9.438894072,9.305707309,9.132761399,8.881077864,9.290887497,9.080413527,8.828278929,9.264629513,9.228123028,9.507487887
CEBPZ,10.70197491,10.68158653,10.45883523,10.74314541,10.59194701,10.67486781,10.35318824,10.67242916,10.73086981,10.49776296
CEBPZOS,8.931826789,9.033106778,8.458161623,8.60850851,8.74814581,8.876554266,8.765739103,8.31261541,9.003094497,8.834550248
CECR1,10.88880352,10.44596922,9.596038055,10.02107929,11.33018817,9.959096308,10.16682102,9.806602194,10.82597202,11.40233527
CECR2,5.91383534,5.875311923,5.839103453,5.816887516,5.841773746,5.926594301,5.987283622,5.81867884,5.974753016,5.890766172
CECR3,4.41701314,4.336931032,4.135497815,4.378635858,4.436241342,4.394069526,4.227900901,4.270613438,4.375357919,4.308720425
CECR5,8.152415702,8.379751492,8.515322447,8.645045819,8.477397556,8.262707685,8.265219984,8.602432847,7.991933604,8.330799949
CECR5-AS1,4.443795283,4.471208784,4.253676745,4.222481506,4.475551075,4.513966665,4.435462171,4.360057826,4.364355817,4.308100866
CECR6,6.192162928,6.291926793,6.310712158,5.70199839,7.224750024,5.448597799,6.106553413,6.25177847,6.024762201,7.444175006
CECR7,5.700082114,5.659500145,5.821685067,5.735685496,5.815033923,6.035372928,5.808591278,5.607346518,5.865132155,5.616610379
CECR9,4.791061651,4.836798512,4.767014057,5.05747236,4.894562991,4.882903362,4.923075836,5.021680338,4.971280054,4.803173907
CEL,4.118181116,4.206079689,4.198402354,4.134104334,4.119801672,4.126123587,4.334157795,4.355201157,4.274028162,4.393004367
CELA1,6.142796126,5.782302645,5.749464744,5.983997349,6.325605643,5.663509634,5.965780269,6.006051347,6.125530636,5.91570331
CELA2A,5.335698913,5.508394682,5.189305942,5.220514446,5.569932941,5.350082163,5.543976132,5.366951681,5.245208954,5.389365407
CELA2B,5.638604278,5.81015303,5.742408579,5.591545745,5.844557895,5.53201883,5.6863084,5.52549735,5.401947436,5.673097397
CELA3A,6.577233556,6.763271018,6.437466232,6.451194138,6.706828812,6.63768719,6.47989088,6.512937364,6.43973276,6.576560534
CELA3B,6.188093292,6.278293623,6.111778163,6.026669665,6.24839297,6.128357454,6.308094514,6.043225149,6.268435245,6.302637826
CELF1,9.371826291,9.374694304,9.085750747,9.299805524,9.387123037,9.377428553,9.396301003,8.971287669,9.550966613,9.452273831
CELF2,9.540328649,9.305170057,9.97319962,10.17089122,9.689061169,9.58313233,9.828475459,10.18748407,9.891779649,9.302601026
CELF2-AS1,7.054127897,6.210339378,6.899730695,7.354956954,7.018334483,7.096060016,7.478600358,6.905346302,7.498101035,7.16817243
CELF3,5.280668413,5.42814016,5.469341099,5.389059808,5.532088118,5.475569041,5.47059339,5.443035749,5.467796424,5.527978479
CELF4,4.863607326,4.860861695,4.830191799,4.799563033,4.918620045,4.939164178,4.764265208,4.75306477,4.808220137,4.720878232
CELF5,5.532952697,5.706030214,5.528551565,5.550595484,5.467926431,5.493662918,5.33505574,5.523344864,5.374063008,5.563586074
CELF6,5.622870417,5.969107139,5.681869054,5.862934738,5.468913506,5.471536395,5.703270617,5.64162466,5.591568375,5.485051473
