Symbol,naive.B.cells,endothelial.cells,fibroblasts,memory.B.cells,memory.CD8.T.cells,monocytes,naive.CD4.T.cells,naive.CD8.T.cells,neutrophils,regulatory.T.cells,NK.cells,memory.CD4.T.cells,myeloid.dendritic.cells,macrophages
GPR65,988.92927,83.05669035,98.65308429,869.2770713,2148.110408,2331.578973,1319.82804,2248.83653,2936.320253,2041.381983,2920.496072,1572.210961,868.8414264,1152.201237
LILRA3,33.87980359,26.87352025,62.46315593,36.16224761,0.908436508,2611.233289,122.3842168,35.58648714,1484.57548,734.3637037,499.7026341,38.34485318,898.211994,371.2666659
EFNA5,34.54659096,29.35218034,69.46734895,41.54646468,0.574365079,43.31361089,61.05768978,26.19753814,67.8982869,83.1342683,67.14590313,53.35472331,76.79053206,43.6996231
HSPA6,241.0868668,408.922732,95.90026731,534.7878773,39.92962827,1144.665122,302.3054578,189.6621459,5207.616183,635.0272393,340.1250121,143.7767319,319.2479741,204.7003089
PNOC,5678.755199,149.6240367,137.0446187,5241.192848,45.5925666,398.0118167,272.7818674,203.5717064,597.1204358,403.063294,114.8612619,148.7081633,151.2382817,161.437773
FZD3,222.9174357,113.1092423,76.23284864,273.7657215,45.46658496,66.61208998,97.6838338,103.1700981,182.045156,104.1852663,64.20733748,200.1991584,146.4328153,53.49012748
HIST1H2AE,66.40614691,39.91573988,15.97236946,61.44183915,235.8065912,30.03369204,31.32286766,59.74436488,57.70239507,277.1366866,24.2956697,62.00724041,64.36071211,25.58619352
TRDC,126.8451718,98.14994128,90.8860065,100.450086,704.5301553,87.80550076,3832.526464,3832.526464,740.5560758,4658.572183,16696.55093,1682.867132,73.82256246,78.33208778
ALDH1A3,72.08922885,113.167005,988.92927,37.0654834,0.754785714,35.87212061,24.5928231,24.15318472,27.94133345,25.37786957,26.59206622,33.3407961,53.74658471,23.55307867
CRYAB,493.08989,264.1323414,6462.895097,264.6136231,45.83206059,270.6386132,334.2360857,226.5119641,451.2547243,100.0178041,209.0120519,221.4740153,272.3648359,404.9150094
TNFRSF11B,15.13591673,24.1777083,968.1171834,14.94375522,0.931714286,18.13084936,17.5233856,12.89676444,14.14194057,8.739507867,13.73655977,15.76366922,57.80434928,15.35801373
FCN1,277.9614685,79.64066066,81.29674718,164.2492228,126.9416219,44477.39265,890.4959246,182.5168306,8412.463426,15646.23198,944.77955,102.6280663,225.4962141,2047.259347
CLEC10A,200.3106306,82.11003372,110.5221305,157.5325235,34.87472992,999.7171298,145.2321284,149.2269162,284.2894601,754.6879854,101.3453538,116.3531359,6935.037291,317.195494
GPR25,18.47452609,24.76977972,33.17129353,61.23322068,349.2923375,39.44553053,61.03098222,53.08069957,26.30406763,89.51727264,53.10748751,192.221991,33.32540962,28.48402335
CDK6,155.9639664,301.2461326,197.4836888,128.166212,52.35930816,100.9923786,260.7889398,233.9455504,77.25573196,138.6174253,627.4375076,416.6994763,222.4719681,115.0461112
MMP25,234.3722367,325.479068,217.5969142,252.6864794,190.7029957,380.0076438,291.9717479,334.7977826,1048.233391,240.8893213,300.7783018,245.6756588,344.9248956,225.0624408
PRRX2,71.4077711,275.3541581,2325.976025,103.8497053,2.193674603,59.80630913,64.91011297,73.5145999,66.555354,60.08283728,44.16174789,159.2284268,49.20086915,51.95993264
IGHM,12.31132257,9.241714882,9.03779105,14.10907577,0.284785714,11.25986057,17.20190717,12.8053159,10.88267131,11.36233726,10.55224434,9.981382876,10.25686385,10.55224434
NPL,39.8588064,43.90203458,38.97268888,33.37210676,2.854555556,1363.107402,157.1714487,154.9994087,3259.922858,583.5870913,175.2838689,167.9040341,2396.692277,2628.853277
CD160,643.1402476,168.8235053,137.714899,510.058686,94.16201779,177.3826306,979.7005273,1779.680658,497.8317013,1461.385862,2923.878931,310.0039973,112.6586312,171.0051693
MZB1,81.25216878,51.7654898,32.06144146,379.2699034,0.998801587,33.18777197,143.6143126,211.8450752,42.27015335,473.0100391,42.05757868,43.29983969,30.57663014,35.64841731
TREML2,181.33872,57.34887161,66.99849607,50.24264934,3.235142857,84.53089028,67.04543333,47.27965568,1523.80852,203.2038454,177.2853049,85.78818289,96.22177849,69.89673889
UGT1A8,212.4377988,101.0448914,73.78439857,174.6186693,1.618992063,109.8192197,101.7461302,110.0886151,209.5323202,23.79249373,71.23037839,100.2980109,78.79759425,90.43252893
ZNF222,24.25909778,48.40692325,73.96580281,18.80349781,158.9620185,96.40595822,93.3576097,137.4191753,39.62240167,190.0361414,181.0318232,43.37956087,127.3329161,132.6917416
IL1B,641.8379359,723.4392468,210.5155523,228.1410364,71.15977062,5269.753657,302.5123845,174.0017984,3170.071809,428.7456707,950.1713171,255.7130894,3061.886513,2826.661942
CSF2,47.3846008,42.72805688,44.22512856,39.50107059,1.635587302,85.11204885,52.22318694,49.99397116,42.51218397,46.44142021,136.3014271,207.3533726,70.44512557,78.03158973
PLEKHF1,74.46541059,251.1082202,327.2884502,65.35245554,993.5398973,80.11881453,916.5252287,1365.408898,88.16728197,1017.339617,1701.170086,730.5314164,85.6878133,509.9356204
FCER1A,162.7575204,144.2702815,70.76949252,135.0877793,23.96999211,1053.076179,585.2658441,186.5352295,253.5428139,1165.328359,500.8582273,158.7522537,3832.526464,70.58979604
IL2RA,114.8937042,42.94107788,36.82170457,165.8722912,570.1321425,249.2852855,135.2826534,73.78439857,29.58776453,186.171556,1179.665932,5605.174307,2652.576571,49.57488943
