Gene,memory.CD8.T.cells,naive.CD8.T.cells
PIGH,4.3000368,4.408861749
PIGK,5.742865821,5.966938324
PIGL,2.964526092,3.425828493
PIGM,3.461112561,3.789519025
PIGN,3.95942376,4.201766616
PIGO,4.666778481,4.855256935
PIGP,2.989015481,3.125103743
PIGQ,4.86943366,4.761062429
PIGS,5.535443038,5.189980657
PIGT,6.352324421,5.992254828
PIGU,3.395452925,2.956391865
PIGV,3.028929402,3.386519064
PIGW,3.149703943,3.641539614
PIGX,4.517650336,3.779437947
PIGZ,0.049731782,-0.356827283
PIH1D1,5.232864623,5.089523161
PIK3AP1,6.072874345,4.537055168
PIK3C2A,5.54510949,5.976897757
PIK3C2B,5.564250233,5.385424904
PIK3C3,5.091123252,5.361971912
PIK3CA,5.915689619,6.067715698
PIK3CB,5.411075219,5.184261113
PIK3CD,8.790424404,9.581446899
PIK3CG,5.895320368,5.838094511
PIK3IP1,9.609082315,10.54921246
PIK3IP1-AS1,0.049731782,0.953334633
PIK3R1,9.611548849,8.101575463
PIK3R2,4.486454937,4.575433294
