,monocytic.lineage,B.cells,CD4.T.cells,NK.cells,neutrophils,CD8.T.cells
ADAT1,44.08665151755444,56.62432334155341,64.07767958766178,35.88427828528975,28.51225026289458,39.463114649612
ADAT2,17.2357240430885,33.370930281936054,48.299287439759595,21.918087289306328,11.99673571484325,34.53336014056038
ADCK1,55.32309638473764,36.389239614829485,43.446558580671805,33.27253770440023,33.910731489303586,40.14046674379395
ADCK2,12.937437608137602,12.807260428462278,23.44470140992319,25.55582038647925,27.774903614180175,27.942428888815044
ADCK3,190.67607192975046,226.4423514448743,210.9167702629162,142.73941948444363,272.8510905954766,204.6314155249759
ADCY10P1,23.20123987549209,64.46704721018206,72.35596240141663,18.89509674154952,29.922939475359534,24.15618101675013
ADCY3,12.175760660534555,31.67186680118109,19.321430422697468,8.336489546651976,11.448923116707512,47.08931147340029
ADCY4,29.703272895786096,19.783832154584484,23.706980222668935,25.728759593178328,49.43188441373151,32.46562859985512
ADCY6,18.828941583031696,17.883410619366977,18.614436007371673,28.163993312179798,35.2912836228031,35.199212739446445
ADCY7,43.02788433078747,24.641360375857033,25.681543355287786,34.67226067437891,30.60785416930572,36.79897288676983
ADCY9,79.65980262533964,45.09670120489612,62.73940751855301,82.18823579218433,25.11817949756121,35.41222733120821
ADD1,32.13247047004408,45.47053267968775,45.41383606748392,45.624283583853405,14.82818382131169,71.63237004173699
ADD2,16.197845211425577,20.821614011001206,19.809217676151363,19.620501334085567,21.764575851249266,28.570068892266736
ADD3,372.7824159963889,1506.3068748087476,1325.94020374254,1219.268375545791,425.54562235891086,430.7302688796961
ADHFE1,81.30713192644824,43.230571398012756,90.04473389186055,144.42833518403398,41.28111404813242,71.80615885424655
ADI1,247.4374396231123,163.78506519028016,206.062761143484,140.64164112046944,197.9689003909344,155.3425170122543
ADIG,18.427264297956405,20.039158195596585,19.499429362585563,24.930155906978055,30.894754409224532,32.886261813259736
ADIPOR2,202.64910591172327,143.26476282398875,119.15866043582307,206.9946973517225,97.31498029954076,88.03804942167832
ADK,91.6059879490166,616.4115139593096,103.09567494397247,53.20758431886775,64.4858177061453,10.57863283597394
ADM,72.00623852290052,12.450570977209523,18.973579842733855,14.683662959388226,1835.2997565114774,17.82035453038816
ADM2,37.83002959717434,34.75045590173525,32.51334310201736,36.173969156680585,55.51054683263819,40.56308000464837
ADNP,153.23159620330495,379.1198013712154,196.2161526665217,173.6910974166071,144.1253199144224,203.08961387454633
ADNP2,73.92446539363067,100.99359569089485,122.58851391421115,73.81693854814242,57.2486592135941,208.65615427077688
ADO,56.17553289034826,56.00990204251651,25.852286859683673,34.53075563844815,8.212776286261972,20.28732303246262
ADORA1,48.48713145735583,37.57913619976944,32.06994556806578,39.40863842852375,41.68596997325408,41.71096274972498
ADORA2A,26.38781517401098,86.77334264544628,78.2614535201465,42.2186926627092,112.10680160656501,51.719088997421416
ADORA3,17.929955468905383,10.967706769382547,11.462104107810537,17.328081158178573,20.320021169427385,29.592459556746565
ADPGK,108.57212948731438,71.16026608109482,44.26087293936701,37.25442781893337,45.386143458429075,37.741367379839666
ADPRH,39.76700482274188,39.176320534523214,15.726764636107314,20.041519649345517,16.968533726942965,13.890403534454245
ADPRHL2,105.509566274701,73.49020139205075,68.78394706275209,66.65402074649099,80.09220868691878,110.52303787462695
ADPRM,28.766344573804645,206.87994693754516,95.15779916500328,32.07794907584028,29.23814747268588,129.43137023785332
ADRB2,27.90090474317115,32.09640921967059,21.07469723437507,219.53847655260844,27.948326609904218,23.933087858827903
ADRBK1,55.90130276608479,57.351924778835084,57.14320301574717,41.93346089620726,83.46850349651062,47.89518569441414
ADRBK2,123.6981402557262,88.70170925642208,31.3864509707888,8.038687680552437,9.359360774459354,6.388218150449917
