Symbol,monocytic.lineage,B.cells,CD4.T.cells,NK.cells,CD8.T.cells,myeloid.dendritic.cells,neutrophils
ADAMTS5,27.381508034644575,20.460790792382504,21.262215104121175,10.498999878411409,10.774133937511744,13.453689851119519,27.68418220592615
ADAMTSL3,24.378543003655626,26.977785071994933,17.840077778909805,12.843709193338563,13.443249470556218,28.606478389434294,27.90593344898889
ADAMTSL4,40.43716639877235,15.390839274636395,16.461683734756733,9.390812589081156,11.566897113401716,8.498569360221433,20.07140911955492
ADAP1,91.53172723938854,32.68076840346597,40.3246470267969,77.78769216465271,48.328087545697265,34.2653851935193,77.66324050731124
ADAP2,158.95449454524714,26.657877268677897,25.05488481225717,17.405966263415376,14.907950202554748,77.53253871529606,20.116954397217054
ADAR,780.9898562111658,577.8855557600083,779.4863774909902,908.2401473198693,816.2402253738676,652.2177978727336,1239.463438224967
ADARB1,16.394386385919493,279.34031668537415,128.43370055002725,79.19129787993657,157.17740194963014,9.84328591008678,15.135348612166082
ADARB2-AS1,30.975163662588432,32.48270786024506,27.06281486494905,15.382733641008999,18.352821881543036,33.55091018595706,47.67331358987532
ADAT1,44.08665151755444,33.19352637977502,64.07767958766178,92.1409137545984,139.34621447289615,37.07050850572283,28.51225026289458
ADAT2,17.2357240430885,30.79533676810625,48.299287439759595,13.002796223626374,28.071806437265778,23.494155406741573,11.99673571484325
ADCK1,55.32309638473764,41.23850136404113,43.446558580671805,42.62062960208721,38.59119999159002,61.056796848900895,33.910731489303586
ADCK2,12.937437608137602,19.534060974329815,23.44470140992319,10.555477949971898,10.319277074550492,14.91063712961336,27.774903614180175
ADCK3,190.67607192975046,200.50855742821062,210.9167702629162,134.07161324698544,176.09742461383942,133.80423789279888,272.8510905954766
ADCK4,68.39173102671732,62.12706520947282,57.921618058170694,63.4223750681535,57.162218330898774,47.99259773494259,81.356741927348
ADCY10P1,23.20123987549209,45.31572935547286,72.35596240141663,24.721939059238522,80.12385888142894,14.3639437167471,29.922939475359534
ADCY3,12.175760660534555,20.972108358831015,19.321430422697468,8.657797156205717,32.82219914319158,17.272200612292583,11.448923116707512
ADCY4,29.703272895786096,20.62725585383977,23.706980222668935,18.023908629677077,21.83453648434773,25.03318581053222,49.43188441373151
ADCY6,18.828941583031696,21.076888528335157,18.614436007371673,12.105577499655558,11.169091996415423,24.16102909793157,35.2912836228031
ADCY7,43.02788433078747,28.898846430630318,25.681543355287786,48.48948412472382,31.029746379781763,35.2925067466852,30.60785416930572
ADCY9,79.65980262533964,31.340146095643576,62.73940751855301,99.52451288069409,63.63638599121344,36.9645385928035,25.11817949756121
ADD1,32.13247047004408,62.88090167381415,45.41383606748392,67.31611443918577,70.25845760093193,19.02269834479959,14.82818382131169
ADD2,16.197845211425577,26.889853684556382,19.809217676151363,11.3581030410922,22.476102818090272,15.287705640634424,21.764575851249266
ADD3,372.7824159963889,1162.1656471874865,1325.94020374254,1432.1828687241862,1415.4057794852692,362.5886612271922,425.54562235891086
ADHFE1,81.30713192644824,38.915689133034434,90.04473389186055,93.99616554801374,85.75328301630856,93.17622653283674,41.28111404813242
ADI1,247.4374396231123,135.37241697703297,206.062761143484,134.5893085443247,108.29328668692415,194.9337386397563,197.9689003909344
ADIG,18.427264297956405,20.83677359213678,19.499429362585563,14.74056583467956,13.113219244777449,19.619005402645925,30.894754409224532
ADIPOQ,9.48725023445216,12.915217192076241,8.80211365331191,6.037243539715922,6.605693357880938,10.848021215808139,14.335695560720698
ADIPOR2,202.64910591172327,103.10925332859462,119.15866043582307,322.50774568339233,189.06257508413523,145.78414345956782,97.31498029954076
ADK,91.6059879490166,438.07376254258156,103.09567494397247,81.53400626003908,152.89739323375758,201.20885669065424,64.4858177061453
ADM,72.00623852290052,14.300661721998576,18.973579842733855,11.565854877284055,9.808074925120259,7.221657502397599,1835.2997565114774
ADM2,37.83002959717434,37.615620920629944,32.51334310201736,24.912018227479695,22.588084056563623,34.001347087175056,55.51054683263819
ADNP,153.23159620330495,309.5288342162735,196.2161526665217,381.44731567205406,352.2656519749227,203.69686974019558,144.1253199144224
ADNP2,73.92446539363067,68.68484952679583,122.58851391421115,146.88772207987066,170.30653677927853,44.63736622341787,57.2486592135941
ADO,56.17553289034826,39.05323081010327,25.852286859683673,141.9491106513431,70.82908500234171,23.21153455812026,8.212776286261972
ADORA1,48.48713145735583,38.490219676484216,32.06994556806578,27.746425121846727,27.72854479413605,59.24740248980539,41.68596997325408
ADORA2A,26.38781517401098,71.13807350037692,78.2614535201465,27.4678102997395,114.3030428753266,32.546263093507854,112.10680160656501
ADORA2B,20.768282389288334,11.82149015147461,8.426128982247906,8.707931145292731,7.595263412900765,54.39152610251235,13.24981214252948
ADORA3,17.929955468905383,12.67180381701475,11.462104107810537,8.119326159579002,6.865477192719323,28.105293972233607,20.320021169427385
