gene,naive.CD4.T.cells,memory.CD4.T.cells,regulatory.T.cells
HBE1,13.781511666666667,11.045504166666667,5.2197260000000005
HBEGF,9.399036666666666,20.446036944444444,12.046381666666667
HBG1,9.48172311111111,5.348115555555555,2.8749366666666667
HBM,15.029918888888888,13.276466666666666,5.705026666666666
HBP1,282.12033333333335,253.5288888888889,262.2726148888889
HBQ1,0.832596,0.8232676666666666,0.7742659999999999
HBS1L,158.12316666666663,123.95560777777779,143.56344666666664
HBZ,2.21539,0.9285316666666666,0.9250316666666668
HCAR1,4.9775115,1.6825050000000001,5.574658166666666
HCAR3,8.008775,6.5439766666666666,10.440330000000001
HCCAT5,24.370099999999997,18.233355555555555,31.7851
HCCS,119.06015000000001,158.20317777777777,108.75032666666668
HCFC1,59.21678666666667,84.07405333333334,79.39380888888888
