,Tregs,memory.B.cells,naive.B.cells,naive.CD4.T.cells,memory.CD4.T.cells,monocytes,naive.CD8.T.cells,endothelial.cells
AC000077.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000078.1,0.0,12.85629186,17.70714422,0.0,0.0,0.0,0.0,0.0
AC000081.1,0.0,1.553781862,0.0,0.0,0.0,0.0,0.0,0.0
AC000089.1,0.0,9.506002516,9.911399376,0.0,0.0,0.0,0.0,0.0
AC000095.1,0.0,1.32000347,2.30287421,0.0,0.0,0.0,0.0,0.0
AC000095.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000099.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000111.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000111.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000111.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000120.1,0.0,21.63609463,18.43684216,0.0,0.0,0.0,0.0,0.0
AC000123.1,0.0,55.4483318,59.37587255,0.0,0.0,0.0,0.0,0.0
AC000123.2,0.0,42.04311269,46.08523635,0.0,0.0,0.0,0.0,0.0
AC000123.3,0.0,32.18717687,33.71376984,0.0,0.0,0.0,0.0,0.0
AC000124.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000362.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000367.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000372.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000374.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC000403.1,0.0,1.544680211,0.124761324,0.0,0.0,0.0,0.0,0.0
AC001226.1,0.0,5.136993095,2.4894397759999998,0.0,0.0,0.0,0.0,0.0
AC001226.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.82313947
AC002044.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002044.2,0.0,0.47574558,0.461102419,0.0,0.0,0.0,0.0,0.0
AC002044.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002056.1,0.0,1.51800399,1.1770245959999999,0.0,0.0,0.0,0.0,0.0
AC002056.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002059.1,0.0,7.739592672000001,16.87808855,0.0,0.0,0.0,0.0,0.0
AC002064.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002064.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002064.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002066.1,0.0,0.570659373,0.7374597629999999,0.0,0.0,0.0,0.0,0.0
AC002069.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002069.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002070.1,0.0,6.3777146920000005,5.298353562,0.0,0.0,0.0,0.0,0.0
AC002075.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002075.2,0.0,9.766628848,10.20555056,0.0,0.0,0.0,0.0,0.0
AC002076.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002076.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002090.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002091.1,0.0,14.91295841,21.68091985,0.0,0.0,0.0,0.0,0.0
AC002091.2,0.0,24.10680964,32.26569912,0.0,0.0,0.0,0.0,0.0
AC002094.2,0.0,24.28806384,33.11628524,0.0,0.0,0.0,0.0,0.0
AC002094.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49389740299999996
AC002094.4,0.0,7.515850375,7.284517043999999,0.0,0.0,0.0,0.0,0.0
AC002094.5,0.0,0.7336617059999999,1.4221600840000002,0.0,0.0,0.0,0.0,0.0
AC002101.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002115.1,0.0,0.0,0.7874460329999999,0.0,0.0,0.0,0.0,0.0
AC002115.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002116.2,0.0,9.15051861,6.955977395,0.0,0.0,0.0,0.0,0.0
AC002127.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002127.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002128.1,0.0,43.14956224,36.97896172,0.0,0.0,0.0,0.0,0.0
AC002128.2,0.0,1.4934408190000001,5.066157646000001,0.0,0.0,0.0,0.0,0.0
AC002306.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002310.1,0.0,15.74447926,17.38156738,0.0,0.0,0.0,0.0,0.0
AC002310.2,0.0,17.02253901,16.44029663,0.0,0.0,0.0,0.0,0.0
AC002310.3,0.0,3.82965322,4.949038412,0.0,0.0,0.0,0.0,0.0
AC002310.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.073693104
AC002310.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7803621940000001
AC002310.6,0.0,6.702588425,4.222586423,0.0,0.0,0.0,0.0,0.0
AC002347.1,0.0,1.706000788,7.440710015,0.0,0.0,0.0,0.0,0.0
AC002347.2,0.0,58.02148585,45.77317873,0.0,0.0,0.0,0.0,0.0
AC002350.1,0.0,3.691785704,3.578154772,0.0,0.0,0.0,0.0,0.0
AC002350.2,0.0,11.39167327,9.54239853,0.0,0.0,0.0,0.0,0.0
AC002351.1,0.0,1.553781862,0.752978698,0.0,0.0,0.0,0.0,0.0
AC002366.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002367.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002368.1,0.0,0.0,2.305512095,0.0,0.0,0.0,0.0,0.0
AC002375.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002378.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002381.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002383.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002384.1,0.0,0.5211442270000001,0.0,0.0,0.0,0.0,0.0,0.0
AC002384.2,0.0,0.0,0.56616373,0.0,0.0,0.0,0.0,0.0
AC002386.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002398.1,0.0,34.85365602,30.63847397,0.0,0.0,0.0,0.0,0.0
AC002398.2,0.0,2.796807352,3.727244554,0.0,0.0,0.0,0.0,0.0
AC002400.1,0.0,12.71276069,26.49115964,0.0,0.0,0.0,0.0,0.0
AC002401.1,0.0,89.2378756,75.10238492,0.0,0.0,0.0,0.0,0.0
AC002401.2,0.0,2.1463870369999998,0.0,0.0,0.0,0.0,0.0,0.0
AC002401.3,0.0,0.0,1.016521242,0.0,0.0,0.0,0.0,0.0
AC002401.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002407.1,0.0,0.11945980099999999,0.173674351,0.0,0.0,0.0,0.0,0.0
AC002428.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002428.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002429.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002429.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002451.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002451.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002454.1,0.0,0.86482986,0.8382109190000001,0.0,0.0,0.0,0.0,0.0
AC002456.1,0.0,11.2371724,26.86520425,0.0,0.0,0.0,0.0,0.0
AC002456.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002460.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002463.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002464.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002465.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC002467.1,0.0,6.800164217000001,9.545382395,0.0,0.0,0.0,0.0,0.0
AC002470.1,0.0,3.5048598460000004,3.396982378,0.0,0.0,0.0,0.0,0.0
