,mix1,mix2,mix3,mix4,mix5,mix6,mix7,mix8,mix9,mix10
SLC7A6OS,0.136614771,0.138128008,0.123308303,0.160463155,0.176026081,0.136614771,0.138128008,0.123308303,0.160463155,0.116000902
PRMT7,0.157457421,0.091573672,0.122194596,0.105525536,0.080767978,0.157457421,0.091573672,0.122194596,0.105525536,0.103609134
SMPD3,0.005473454,0.006405575,0,0.007528221,0,0.005473454,0.006405575,0,0.007528221,0.011735129
ZFP90,0.131110117,0.073240221,0.076800457,0.07202911,0.074736602,0.131110117,0.073240221,0.076800457,0.07202911,0.065119698
CDH1,0.007168459,0,0.00210823,0,0,0.007168459,0,0.00210823,0,0.001647534
TANGO6,0.03916086,0.048744943,0.067021537,0.076264843,0.067381458,0.03916086,0.048744943,0.067021537,0.076264843,0.065045986
HAS3,0,0,0,0.007181819,0,0,0,0,0.007181819,0
CHTF8,0.368399348,0.314603648,0.265450981,0.327742284,0.34024209,0.368399348,0.314603648,0.265450981,0.327742284,0.3305783
CIRH1A,0.12653226,0.105836555,0.185849677,0.19578537,0.17631763,0.12653226,0.105836555,0.185849677,0.19578537,0.194511782
SNTB2,0.065338341,0.043603444,0.035228352,0.085817937,0.062566973,0.065338341,0.043603444,0.035228352,0.085817937,0.066243419
VPS4A,0.316478817,0.262978307,0.296822921,0.344770387,0.279369826,0.316478817,0.262978307,0.296822921,0.344770387,0.357589912
COG8,0.045699201,0.032830123,0.033086107,0.069057078,0.041947074,0.045699201,0.032830123,0.033086107,0.069057078,0.060557815
NIP7,0.271824342,0.177272518,0.208955844,0.285779598,0.201225306,0.271824342,0.177272518,0.208955844,0.285779598,0.222609908
TERF2,0.056027956,0.046983512,0.057487908,0.071014758,0.066092947,0.056027956,0.046983512,0.057487908,0.071014758,0.062631769
