Name,CD8.T.cells,CD4.T.cells,NK.cells,B.cells,monocytic.lineage,neutrophils,fibroblasts,endothelial.cells
FLJ22313,5944.0,2826.0,3078.0,1004.0,3157.0,3750.0,2981.0,422.0
FLJ22329,587.0,569.0,370.0,298.0,1366.0,200.0,875.0,839.0
FLJ22368,603.0,263.0,654.0,179.0,1679.0,491.0,516.0,702.0
FLJ22457,3032.0,1706.0,3335.0,185.0,404.0,85.0,329.0,366.0
FLJ22557,1321.0,1061.0,464.0,567.0,1036.0,4387.0,1782.0,400.0
FLJ22573,1041.0,1013.0,648.0,1008.0,1098.0,1006.0,551.0,958.0
FLJ22625,884.0,609.0,989.0,687.0,1103.0,406.0,992.0,54.0
FLJ22649,1813.0,1409.0,1995.0,572.0,3566.0,2435.0,9165.0,556.0
FLJ22662,135.0,198.0,394.0,603.0,11396.0,7679.0,859.0,887.0
FLJ22833,456.5,956.0,416.5,193.0,1243.0,2836.5,2311.5,695.5
FLJ23230,918.0,661.0,307.0,787.0,608.0,730.0,653.0,154.0
FLJ23235,273.0,246.0,229.0,537.0,48.0,108.0,72.0,45.0
FLJ23560 ,2929.0,3230.5,3230.0,1805.0,3952.0,6470.0,4325.0,422.0
FLJ25348,31.0,57.0,50.0,145.0,43.0,80.0,114.0,1131.0
FLJ31033,1124.0,559.0,838.0,255.0,1815.0,1951.0,4612.0,283.0
FLJ31051,354.0,695.0,286.0,206.0,1217.0,3007.0,311.0,132.0
FLJ31238 ,3093.0,3394.0,2585.0,704.0,1937.0,815.0,3492.0,252.0
FLJ31364,600.0,802.0,504.0,470.0,618.0,414.0,1159.0,314.0
FLJ31413,1065.0,828.0,1265.0,781.0,1720.0,5203.0,2369.0,771.0
FLJ31821,801.0,588.0,851.0,400.0,1071.0,2908.0,3581.0,375.0
FLJ31978,25.0,105.0,85.0,61.0,3565.0,12243.0,351.0,27.0
FLJ32028,774.0,557.0,832.0,842.0,3718.0,15035.0,256.0,45.0
FLJ32255 ,3364.0,1754.0,2270.0,949.0,505.0,836.0,286.0,102.0
FLJ32332,3056.0,2681.0,2594.0,761.0,3070.0,2623.0,1571.0,919.0
FLJ32370 ,2386.0,1616.0,1553.0,848.0,1324.0,942.0,2173.0,206.0
FLJ32704,158.0,301.0,115.0,156.0,334.0,133.0,3487.0,200.0
FLJ33069,2719.0,3194.0,3061.0,206.0,4555.0,11699.0,206.0,453.0
FLJ33215 ,1363.0,616.0,1713.0,1209.0,2159.0,6767.0,2001.0,396.0
FLJ35936 ,196.0,289.0,445.0,666.0,301.0,480.0,307.0,72.0
FLJ36837,7924.0,6221.0,6139.5,5707.5,2743.5,2615.0,1290.5,356.5
FLJ36874,1418.0,3402.0,2033.0,1939.0,2688.0,2271.0,2132.0,367.0
FLJ37142 ,1885.0,1654.0,1386.0,973.0,797.0,567.0,4417.0,148.0
FLJ37970 ,1841.0,1269.0,2492.0,921.0,2626.0,2558.0,763.0,395.0
FLJ38331 ,781.0,1057.0,1097.0,991.0,1260.0,860.0,1461.0,78.0
FLJ38499,1464.5,1560.0,1448.5,613.5,1771.0,859.0,1750.5,381.0
FLJ38725,178.0,367.0,218.0,319.0,1075.0,209.0,6300.0,1137.0
FLJ39485 ,4393.0,4392.0,6717.0,1221.0,3057.0,1407.0,1420.0,557.0
FLJ39622 ,2860.0,1841.0,3333.0,526.0,608.0,1214.0,689.0,184.0
FLJ39739 ,2902.0,2045.0,5865.0,1088.0,1947.0,1819.0,1268.0,244.0
FLJ39873,1318.0,506.0,1715.0,201.0,91.0,143.0,76.0,61.0
FLJ39885,1909.3333333333333,1255.0,2633.3333333333335,1165.6666666666667,1936.3333333333333,1628.6666666666667,1346.0,1173.3333333333333
FLJ39885 ,303.0,453.0,334.0,458.0,345.0,610.0,578.0,741.0
FLJ40432,326.0,355.5,309.5,364.5,849.0,348.0,970.5,405.5
FLJ40614 ,3703.0,3180.0,3154.0,3746.0,3459.0,1093.0,3097.0,1579.0
