,B_cell,CD4_Tcell,CD8_Tcell,Neutrophil,Macrophage,Dendritic
MPZL3,99.0,896.0,141.0,1459.0,120.0,137.0
MREG,90.0,109.5,76.0,127.5,908.5,1567.0
MRPS10,218.0,262.0,204.0,159.0,1746.0,371.0
MRTO4,146.5,133.5,205.0,130.5,130.5,213.5
MS4A1,2601.8,245.2,261.8,302.8,83.4,66.4
MS4A6A,143.33333333333334,84.66666666666667,61.0,191.33333333333334,374.3333333333333,1074.0
MS4A7,35.0,180.0,226.0,91.0,3196.0,1871.0
MSC,46.0,49.0,22.0,64.0,378.0,189.0
MSL1,221.0,601.5,582.5,6201.5,500.5,731.0
MTDH,233.0,411.0,188.0,72.33333333333333,234.33333333333334,589.0
MTF1,45.5,104.5,71.0,363.5,1505.5,253.5
MTHFD1L,110.0,1744.0,153.0,48.0,140.0,326.0
MTHFD2,133.0,173.0,262.0,84.0,498.0,372.0
MTPAP,250.0,365.3333333333333,391.6666666666667,144.0,506.3333333333333,354.3333333333333
MX1,126.0,49.0,135.0,64.0,641.0,309.0
MX2,193.0,290.0,91.0,1036.0,412.0,182.0
MXD1,83.0,60.0,63.0,923.0,129.0,4.0
MYBL1,71.0,1002.0,315.0,31.0,14.0,50.0
MYLIP,564.25,2950.25,1780.5,2141.25,155.25,130.0
MYO1F,118.0,1254.0,658.0,5865.0,633.0,404.0
MYO1G,427.0,1523.0,960.5,364.5,1090.0,81.0
N4BP1,56.0,36.0,85.0,967.0,846.0,375.0
N4BP2L1,122.0,53.0,84.0,124.0,69.0,109.0
NBN,140.0,102.0,88.0,638.6666666666666,1967.3333333333333,197.66666666666666
NBPF10,675.0,1051.0,1208.0,710.0,2383.0,582.0
NCEH1,74.0,34.0,26.0,35.0,390.0,3894.0
NCF2,108.0,506.0,60.0,5409.0,3258.0,1189.0
NCF4,206.5,140.5,41.0,4383.0,222.0,195.5
NCK1,91.0,91.5,141.0,145.0,173.0,307.5
NCKAP1L,140.0,292.0,175.0,148.0,423.0,1333.0
NCOA3,354.4,85.2,173.6,156.8,288.6,133.0
NCR3,415.6666666666667,295.3333333333333,156.33333333333334,195.33333333333334,27.666666666666668,46.0
NCRNOGENE00158,168.0,244.0,69.0,78.0,1255.0,56.0
NDE1,191.5,439.5,139.0,759.5,341.0,148.0
NDFIP2,116.5,4945.0,150.5,157.5,159.0,147.0
NDNL2,283.0,991.0,1733.0,110.0,137.0,168.0
NEAT1,219.0,458.0,56.0,1037.0,8897.0,948.0
NECAP2,195.0,301.0,117.0,103.0,347.0,434.0
NEK6,180.0,347.0,47.0,436.0,1235.0,3216.0
NETO2,215.0,80.0,90.0,180.0,218.0,493.0
NEURL3,62.0,461.0,82.0,143.0,685.0,25.0
NFAM1,94.0,135.0,53.0,1920.0,200.0,461.0
NFATC2,35.0,814.0,979.0,18.0,34.0,21.0
NFE2,17.0,66.0,60.0,1966.0,165.0,112.0
NFKB1,217.0,271.0,172.0,306.0,850.0,408.0
NFKBID,318.0,514.0,65.0,315.0,641.0,449.0
NFXL1,107.0,406.0,165.0,426.0,178.0,4905.0
NGLY1,346.0,95.0,70.0,91.0,132.0,124.0
NIN,392.0,1454.0,828.0,2335.0,333.0,596.0
NINJ1,5.0,103.0,77.0,1825.0,837.0,307.0
NIP7,131.0,83.0,173.0,95.0,192.0,160.0
NIPBL,227.0,255.0,411.0,873.0,669.0,131.0
NKG7,33.0,3842.0,2272.0,404.0,113.0,2.0
NKTR,711.0,572.0,276.0,382.0,659.0,354.0
NLRC3,411.0,2081.0,1547.0,358.0,139.0,141.0
NLRC5,577.0,2171.0,2596.0,501.0,489.0,315.0
NLRP12,141.0,76.0,188.0,1375.0,309.0,241.0
NLRP7,170.0,211.0,106.0,94.0,78.0,26.0
NMI,143.0,412.0,456.0,1201.0,333.0,335.0
NMT1,197.0,111.0,138.0,78.0,189.0,133.0
NOGENE,351.09615384615387,668.8961538461539,417.6115384615385,891.5115384615384,658.0115384615384,360.71923076923076
NOGENEA25,246.5,286.0,146.5,115.0,178.0,380.0
NOGENEA50,248.5,494.0,505.0,579.5,596.0,612.0
NOGENEDK,184.33333333333334,135.66666666666666,105.66666666666667,1851.3333333333333,296.0,201.33333333333334
NOGENEGA,112.0,44.0,78.0,127.0,136.5,599.0
NOGENEGK,316.0,85.0,85.0,1423.0,542.0,394.0
NOGENEGPA,187.0,31.0,82.0,59.0,120.0,968.0
NOGENEIP,140.0,127.0,83.0,557.0,254.0,879.0
NOGENEMPT,80.0,109.0,22.0,3992.0,1911.0,543.0
NOGENEV1,67.5,43.5,96.5,159.5,512.0,88.0
NOP58,1075.0,2331.0,1052.0,170.0,1126.0,943.0
NPC1,148.0,106.0,143.0,110.0,976.0,742.0
NPL,18.0,64.0,20.0,433.0,158.0,1022.0
NR3C1,175.0,76.0,195.0,982.0,977.0,152.0
NR4A3,87.0,30.0,27.0,77.5,230.5,302.0
NRBF2,64.0,303.0,134.0,1759.0,414.0,209.5
NRIP3,219.0,54.0,31.0,207.0,1023.0,211.0
NRP1,73.0,6.0,15.0,56.0,1751.0,494.0
NRP2,253.0,89.0,146.0,94.0,383.0,217.0
NSMAF,120.5,229.0,140.5,405.0,1569.5,323.5
NT5C3,1112.0,1172.0,950.0,2014.0,370.0,356.0
NUB1,244.0,912.0,501.5,538.5,457.0,932.5
NUDT21,131.0,93.0,110.0,135.0,237.0,103.0
NUF2,91.0,2226.0,70.0,54.0,99.0,51.0
NUMB,80.0,45.0,71.0,834.0,317.0,132.0
NUP153,213.0,75.0,158.0,445.0,291.0,233.0
NUP214,251.0,146.0,41.0,913.0,152.0,59.0
NUP62,180.0,101.0,163.0,24.0,415.0,421.0
NUPL1,112.0,860.0,87.0,262.0,450.0,267.0
NUS1,179.0,674.0,389.0,148.0,950.0,1079.0
NUSAP1,72.5,70.5,99.0,93.5,80.5,54.0
OAS1,107.0,19.0,77.0,133.0,99.0,179.0
OAS2,183.0,164.0,139.0,311.0,162.0,140.0
OAS3,215.0,232.0,146.0,174.0,349.0,278.0
OAZ2,311.0,138.0,166.0,1532.0,328.0,741.0
OBFC2A,141.5,1286.5,180.5,1105.5,548.5,695.5
OGFRL1,179.0,122.0,35.0,1177.0,1165.0,904.0
ORMDL1,478.0,975.0,576.0,162.0,164.0,632.0
OSBPL10,437.0,26.0,36.0,45.0,23.0,24.0
OSBPL11,501.0,293.0,311.0,1535.0,1194.0,863.0
OSBPL8,459.0,217.0,175.33333333333334,2234.3333333333335,1119.6666666666667,383.3333333333333
OSM,125.0,430.0,192.0,408.0,1888.0,70.0
OSTM1,134.0,372.0,241.0,508.0,1004.0,828.0
OTUD1,123.0,359.0,284.0,277.0,429.0,249.0
OXNOGENED1,188.0,1391.0,1422.0,275.0,180.0,98.0
P2RX5,1973.0,59.0,110.0,19.0,38.0,71.0
P2RY13,106.0,18.0,1.0,2509.0,61.0,97.0
P2RY8,1113.0,4375.0,1703.0,1175.0,234.0,151.0
PA2G4,78.0,234.0,257.0,88.0,395.0,126.0
PAICS,70.5,146.0,118.0,103.0,55.0,112.5
PAK2,224.5,108.0,255.5,457.5,255.5,328.0
PAPD4,184.5,232.5,294.0,365.0,449.5,381.0
PAPOLA,962.0,167.0,307.0,247.0,317.0,76.0
PARP8,130.0,323.0,248.0,904.0,81.0,176.0
PARP9,165.0,1629.0,475.0,1505.0,432.0,291.0
PARVG,332.0,305.0,410.5,1354.5,428.0,808.5
PASK,192.0,244.0,301.0,308.0,168.0,50.0
PATL1,407.0,1714.0,197.0,521.0,859.0,367.0
PATL2,108.0,635.0,1008.0,169.0,179.0,91.0
PCNOGENE,93.0,149.0,245.0,86.0,222.0,308.0
PDCD1LG2,9.0,22.0,7.0,10.0,25.0,416.0
PDE4B,630.0,386.0,389.0,619.0,641.0,41.0
PDIA4,115.0,64.0,147.0,149.0,173.0,328.0
PDK1,130.0,2284.0,555.0,407.0,128.0,185.0
PDXK,112.5,136.0,98.0,333.5,1332.5,1459.0
PELI1,858.0,535.3333333333334,251.33333333333334,3294.6666666666665,527.0,158.0
PFKFB3,67.0,86.0,44.0,258.0,1544.0,78.0
PGD,150.0,42.0,58.0,1324.0,2867.0,1744.0
PGK1,245.0,4611.0,588.0,1338.0,1262.0,1273.0
PHACTR1,107.0,31.0,23.0,153.0,571.0,34.0
PHC2,212.0,278.0,106.0,2281.0,365.0,252.0
PHF19,136.0,1937.0,159.66666666666666,83.33333333333333,349.0,131.66666666666666
PI3,104.5,16.5,28.5,1520.0,1911.0,25.5
PI4K2A,221.0,127.0,58.0,136.0,268.0,374.0
PIAS1,320.0,76.0,423.0,1351.0,244.0,81.0
PICALM,98.5,99.5,151.5,867.5,360.0,746.0
PID1,86.0,23.0,16.0,32.0,1604.0,18.0
PIK3CD,479.0,846.0,817.0,1874.0,476.0,390.0
PIK3IP1,675.5,1424.5,930.5,163.5,111.5,77.0
PIK3R5,221.0,490.0,985.0,2029.0,1760.0,915.0
PILRA,71.5,115.0,24.0,1428.5,1425.0,333.0
PIM1,84.0,104.0,146.0,628.0,1054.0,256.0
PIM2,251.0,140.0,231.0,412.0,200.0,57.0
PION,1714.0,176.0,188.0,171.0,925.0,1010.0
PIP4K2A,714.0,1999.0,2750.0,1141.0,675.0,1099.0
PITPNOGENE,58.0,49.0,46.0,664.0,340.0,145.0
PL-5283,281.0,353.0,496.0,850.0,1666.0,1952.0
PLA2G7,122.0,15.0,15.0,96.0,4691.0,2388.0
PLAUR,107.66666666666667,159.0,72.66666666666667,714.3333333333334,2166.0,636.3333333333334
PLBD1,210.0,70.0,55.0,2633.0,772.0,887.0
PLD1,181.0,71.0,93.0,9.0,973.0,120.0
PLD3,50.0,45.0,46.0,124.0,144.0,1187.0
PLDN,298.5,900.0,295.0,364.0,554.5,2266.5
PLEK,114.0,595.0,821.0,1933.5,2500.5,708.5
PLEKHA2,439.0,616.0,184.0,832.0,185.0,231.0
PLEKHB2,65.0,53.0,55.0,257.0,829.0,234.0
PLXNC1,88.33333333333333,114.33333333333333,47.666666666666664,1627.0,335.6666666666667,200.33333333333334
PMAIP1,752.5,624.0,650.5,396.5,637.5,70.5
PNO1,408.0,94.5,84.5,1976.0,345.0,130.5
PNOC,264.0,22.0,86.0,146.0,70.0,26.0
PNPLA8,164.0,1050.0,202.0,1069.0,1841.0,406.0
POLE3,188.0,227.0,88.0,129.0,130.0,261.0
POLR1B,118.0,423.0,189.0,52.0,99.0,285.0
POU2AF1,1282.0,216.0,375.0,58.0,22.0,21.0
POU2F2,218.0,84.0,109.0,157.0,580.0,144.0
PPAPDC1B,1261.0,270.0,127.0,176.0,263.0,270.0
PPBP,116.0,44.0,33.0,496.0,3966.0,301.0
PPHLN1,558.0,1295.0,1013.0,1273.0,1062.0,1040.0
PPIF,73.0,58.5,68.0,320.0,2407.5,601.0
PPM1F,153.0,56.0,43.0,646.0,317.0,446.0
PPM1M,209.0,1649.0,919.0,1432.0,684.0,919.0
PPOX,147.0,19.0,83.0,94.0,74.0,42.0
PPP1R2,273.5,385.5,200.0,236.5,236.5,125.5
PPT1,121.0,410.0,406.0,1518.0,809.0,990.0
PQLC3,247.0,416.0,407.0,145.0,265.0,1188.0
PRAGMIN,150.0,519.0,955.0,293.0,261.0,1443.0
PRAM1,3.0,78.0,7.0,845.0,298.0,1709.0
PRC1,88.0,35.0,42.0,99.0,39.0,27.0
PRDM1,120.0,623.0,341.0,1151.0,1127.0,765.0
PRDM15,134.0,278.0,180.0,148.0,263.0,129.0
PRDM2,646.0,109.0,203.0,180.0,92.0,169.0
PREX1,291.5,944.0,1147.0,5883.0,731.5,306.5
PRF1,158.0,3215.0,2382.0,431.0,81.0,37.0
PRICKLE1,216.0,148.0,66.0,1460.0,434.0,102.0
PRKCH,123.5,640.5,521.5,154.5,157.5,77.5
PRKCQ,263.0,378.0,178.0,270.0,81.0,66.0
PRMT2,483.0,898.0,1484.0,1048.0,434.0,779.0
PROK2,25.0,19.0,96.0,5834.0,119.0,32.0
PRPF38B,749.0,983.0,754.0,690.0,407.0,261.0
PRPF40A,560.5,306.0,217.5,252.0,514.5,385.0
PRRG4,116.0,120.0,49.0,1440.0,130.0,326.0
PSMB2,734.0,259.0,119.0,1615.0,841.0,251.0
PSMD11,113.0,155.0,167.0,263.0,1029.0,317.0
PTAFR,166.0,43.0,73.0,2132.0,662.0,612.0
PTEN,167.0,104.0,109.5,1142.5,135.5,89.0
PTGDR,86.5,123.5,199.5,91.5,60.0,49.5
PTGER2,48.0,649.0,414.0,105.0,513.0,101.0
PTGS2,80.0,9.0,18.0,549.0,2396.0,16.0
PTP4A2,309.0,1061.0,319.0,854.0,488.0,191.0
PTPLB,418.0,56.0,301.0,156.0,298.0,1819.0
PTPN1,279.0,356.0,74.0,296.0,328.0,91.0
PTPN22,168.0,867.0,524.0,53.0,64.0,229.0
PTPN4,105.0,350.0,450.0,114.0,65.0,97.0
PTPN6,791.0,503.0,570.0,2216.0,1041.0,358.0
PTPN7,114.0,157.0,156.0,39.0,214.0,201.0
PTPRC,1307.6666666666667,615.0,738.6666666666666,5986.333333333333,1239.3333333333333,1100.3333333333333
PTPRCAP,1092.0,590.0,1051.0,243.0,142.0,12.0
PTPRE,234.0,124.0,214.0,1331.0,3348.0,1682.0
PTPRJ,317.0,643.0,893.0,4098.0,2181.0,1592.0
PTPRO,171.0,27.0,29.0,133.0,81.0,870.0
PTTG1,310.0,158.0,351.0,429.0,130.0,151.0
PTX3,74.0,17.0,12.0,111.0,1188.0,157.0
PVRIG,148.0,375.0,882.0,140.0,58.0,15.0
PVRL2,74.0,100.0,35.0,99.0,118.0,234.0
PXN,271.0,178.0,386.0,910.0,175.0,232.0
PYHIN1,122.0,168.0,1247.0,149.0,53.0,60.0
QPCT,51.0,11.0,21.0,772.0,654.0,547.0
QRSL1,377.0,121.0,51.0,30.0,39.0,51.0
QSER1,342.0,532.0,376.0,210.0,593.0,1658.0
RAB10,181.0,1471.0,582.0,2720.0,3283.0,1572.0
RAB11FIP1,192.0,200.0,95.0,1813.0,209.0,137.0
RAB24,365.0,338.0,292.0,3255.0,730.0,310.0
RAB30,436.0,201.0,115.0,368.0,145.0,309.0
RAB37,267.0,1061.0,988.0,2359.0,174.0,53.0
RAB7B,133.0,86.0,54.0,197.0,282.0,2073.0
RAB8B,190.66666666666666,2684.3333333333335,527.0,1333.0,1462.0,474.3333333333333
RAB9A,58.0,151.0,107.0,136.0,508.0,380.0
RAC2,1499.0,976.5,346.0,3693.5,1985.5,1710.5
RACGAP1,103.0,11.0,105.0,36.0,44.0,59.0
RALA,102.0,22.0,135.0,141.0,421.0,99.0
RALB,91.0,213.0,150.0,2510.0,234.0,143.0
RALGPS2,2280.0,306.0,118.0,252.0,26.0,130.0
RAP2B,167.0,265.0,1904.0,751.0,1222.0,3566.0
RAP2C,301.0,265.0,117.0,500.0,506.0,145.0
RAPGEF1,274.5,617.5,834.5,668.0,1251.0,962.5
RAPGEF6,394.0,956.0,554.0,1370.0,662.0,639.0
RARA,52.0,64.0,50.0,1001.0,111.0,116.0
RASA2,570.0,1648.0,1796.0,1926.0,992.0,463.0
RASA3,312.0,866.0,846.0,368.0,316.0,292.0
RASAL2,130.0,56.0,10.0,294.0,784.0,1570.0
RASAL3,515.0,2664.0,1516.0,1106.0,430.0,138.0
RASGRP1,218.0,642.0,347.0,83.0,699.0,41.0
RASGRP2,875.0,760.0,373.5,377.5,65.0,13.0
RASGRP3,588.0,6.0,10.0,9.0,124.0,395.0
RASGRP4,110.0,137.0,17.0,2072.0,148.0,166.0
RASSF2,138.0,187.0,137.0,2505.0,405.0,669.0
RASSF4,21.333333333333332,67.0,93.66666666666667,46.0,739.3333333333334,1070.3333333333333
RASSF5,575.0,2837.0,3551.0,7451.0,3465.0,1009.0
RBBP4,154.0,196.0,116.0,182.0,164.0,203.0
RBL2,292.0,531.0,470.0,333.0,100.0,53.0
RBM17,225.0,741.0,353.0,218.0,225.0,430.0
RBM22,229.0,556.0,223.0,670.0,779.0,160.0
RBM8A,372.0,2360.0,484.0,600.0,873.0,190.0
RBMS1,202.0,1288.0,738.0,2697.0,1056.0,1253.0
RC3H1,220.0,562.0,409.0,614.0,720.0,331.0
RCBTB2,91.0,22.0,158.0,827.0,388.0,1110.0
RCSD1,1251.0,1565.0,2124.0,3384.0,648.0,823.0
RDX,289.0,60.0,35.0,296.0,881.0,85.0
RECK,1938.0,81.0,328.0,10431.0,522.0,103.0
REL,611.0,108.0,95.0,232.0,351.0,195.0
RELB,81.0,71.0,22.0,207.0,170.0,227.0
RELT,373.0,433.0,140.0,530.0,570.0,806.0
RFC4,86.0,81.0,59.0,76.0,64.0,85.0
RFTN1,359.0,352.0,331.0,90.0,776.0,929.0
RFWD2,112.0,900.0,235.0,3505.0,1174.0,1105.0
RFX7,158.0,801.0,342.0,184.0,242.0,187.0
RGL4,116.0,414.0,110.0,829.0,110.0,49.0
RGS1,380.5,950.5,842.5,183.0,52.0,129.0
RGS18,134.0,248.0,104.0,2597.0,134.0,1253.0
RGS19,321.0,344.0,196.0,1208.0,232.0,260.0
RHBDD1,46.0,646.0,191.0,25.0,171.0,206.0
RHOG,278.0,870.0,460.0,4720.0,815.0,609.0
RHOH,745.0,474.0,759.0,108.0,228.0,48.0
RICTOR,180.5,601.0,421.0,2266.5,517.5,264.5
RIF1,235.0,228.0,43.0,327.0,436.0,119.0
RILPL2,155.0,992.0,328.0,2142.0,2621.0,1149.0
RIOK1,117.0,121.0,168.0,131.0,181.0,79.0
RIPK2,141.0,351.0,138.0,293.0,1216.0,76.0
RIT1,99.0,148.6,131.4,1043.8,1894.8,878.8
RNF125,72.0,1258.0,740.0,72.0,84.0,256.0
RNF13,305.5,172.0,125.0,2784.5,1388.5,858.0
RNF141,487.0,197.0,125.0,4606.0,77.0,676.0
RNF144B,61.0,35.5,105.5,630.0,1523.0,761.0
RNF149,100.0,1194.0,739.0,5517.0,2563.0,1377.0
RNF166,120.0,583.0,714.0,1554.0,226.0,273.0
RNF19B,173.0,147.0,157.0,359.5,591.0,274.0
RNF213,348.6,634.2,856.2,829.0,737.8,370.8
RNOGENESE2,110.0,46.0,274.0,2408.0,135.0,88.0
RNOGENESE6,783.0,44.0,87.0,1675.0,164.0,1618.0
RNOGENESET2,929.0,2915.0,527.0,4263.0,367.0,1452.0
ROD1,197.5,272.0,321.0,1880.0,489.5,383.5
RORA,47.0,337.0,581.0,138.0,36.0,24.0
RP6-213H19.1,325.0,268.0,140.0,239.0,505.0,26.0
RPA3,123.0,20.0,67.0,139.0,155.0,159.0
RPIA,168.0,139.0,133.0,224.0,80.0,147.0
RPN1,233.0,79.0,181.0,183.0,294.0,349.0
RPS27L,119.0,95.0,154.0,111.0,653.0,355.0
RRAGC,387.0,602.0,384.0,749.0,1651.0,364.0
RRM1,93.0,33.0,63.0,145.0,73.0,67.0
RRM2,158.5,60.5,249.0,135.0,64.0,48.5
RRP1B,192.0,214.0,131.0,73.0,274.0,1026.0
RSAD2,109.5,557.0,74.0,136.0,5981.5,87.0
RUFY3,194.0,334.0,265.0,114.0,211.0,149.0
RUNX2,207.0,622.0,1184.0,1366.0,980.0,85.0
RUNX3,203.0,1999.5,934.5,169.0,166.0,187.5
RYBP,190.0,103.0,65.0,808.0,523.0,115.0
S100A12,145.0,41.0,46.0,3311.0,968.0,25.0
S100A9,92.0,572.0,380.0,6683.0,4533.0,1589.0
S1PR4,115.0,117.0,242.0,679.0,52.0,138.0
S1PR5,39.0,540.0,1616.0,24.0,19.0,102.0
SAMD3,149.0,1171.0,2782.0,194.0,131.0,80.0
SAMD9,94.0,408.0,197.0,677.0,302.0,61.0
SAMD9L,161.66666666666666,649.6666666666666,348.0,585.0,526.3333333333334,1173.3333333333333
SAMHD1,55.0,349.0,111.0,128.0,336.0,570.0
SAMSN1,98.0,341.0,201.0,560.0,1294.0,527.0
SARNP,144.0,3949.0,573.0,440.0,885.0,387.0
SART3,259.0,293.0,329.0,195.0,376.0,235.0
SASH3,143.0,520.0,383.0,653.0,309.0,455.0
SCD5,2060.0,324.0,67.0,5204.0,144.0,32.0
SCO2,93.0,125.0,63.0,275.0,661.0,116.0
SDF2L1,89.0,51.0,139.0,88.0,165.0,167.0
SEC14L1,117.0,125.5,37.5,2181.5,257.0,283.0
SEC24A,92.0,44.0,56.0,124.0,112.0,93.0
SEC62,768.0,191.0,358.0,673.0,679.0,444.0
SEL1L3,786.6666666666666,167.0,252.0,150.0,99.66666666666667,233.33333333333334
SELL,1324.0,2637.0,535.0,6016.0,514.0,43.0
SELPLG,88.0,174.0,254.0,2181.5,218.5,805.0
SEMA4D,231.0,261.0,175.0,874.0,205.0,55.0
SEPT1,210.0,219.0,813.0,180.0,16.0,59.0
SEPT6,113.0,350.0,548.0,201.0,66.0,259.0
SEPX1,7.0,156.0,136.0,4357.0,282.0,692.0
SERBP1,396.0,504.0,258.5,219.0,350.5,245.5
SERPINB2,131.0,24.0,29.0,94.0,3480.0,32.0
SERPINB7,18.0,9.0,4.0,33.0,2666.0,6.0
SERPINB9,561.5,569.0,535.5,305.0,3832.5,128.5
SF1,848.0,1251.0,348.0,365.0,456.0,142.0
SFMBT2,102.0,270.0,67.0,101.0,222.0,231.0
SFRS1,306.0,870.0,247.0,143.0,873.0,369.0
SFRS2,961.0,326.0,524.0,220.0,360.5,296.5
SFRS2IP,174.5,166.0,251.0,738.0,544.5,459.0
SGK3,165.0,280.0,257.0,86.0,4123.0,1282.0
SGOL2,69.0,1390.5,115.0,115.0,150.0,69.5
SGPP2,174.5,151.0,116.5,224.0,2233.5,425.5
SH2B3,114.0,286.0,190.0,457.0,405.0,290.0
SH2D2A,173.0,245.0,71.0,194.0,102.0,70.0
SH3BP5,585.0,593.0,528.0,313.0,1087.0,390.0
SH3GL3,1045.0,176.0,36.0,2478.0,61.0,32.0
SHKBP1,174.0,445.0,277.0,2928.0,1448.0,293.0
SIAH2,325.0,268.0,64.0,172.0,262.0,124.0
SIGLEC1,94.5,36.0,35.0,81.5,80.0,316.5
SKA2,93.0,588.0,142.0,66.0,126.0,84.0
SKAP2,256.5,168.0,93.5,813.0,163.5,434.0
SLA,326.0,488.0,117.0,896.0,581.0,449.0
SLAMF1,89.0,53.0,72.0,170.0,358.0,84.0
SLAMF7,133.66666666666666,242.33333333333334,612.0,94.33333333333333,6481.666666666667,372.3333333333333
SLAMF8,112.0,42.5,56.5,116.0,669.0,875.5
SLC11A1,110.0,87.0,69.0,1495.0,957.0,170.0
SLC11A2,178.0,66.0,99.0,140.0,1260.0,231.0
SLC15A3,205.0,121.0,16.0,608.0,1169.0,1867.0
SLC15A4,283.0,733.0,690.5,3883.0,716.0,411.5
SLC16A3,67.5,68.5,32.0,615.5,975.5,1279.0
SLC16A6,107.0,107.0,308.0,546.0,3356.0,558.0
SLC25A16,1525.0,1175.0,207.0,2757.0,268.0,127.0
SLC25A37,136.83333333333334,116.66666666666667,115.66666666666667,3066.0,2320.0,72.83333333333333
SLC25A40,73.0,1783.0,194.0,301.0,1402.0,2601.0
SLC26A11,229.0,554.0,1313.0,354.0,1693.0,4814.0
SLC27A3,44.0,201.0,90.0,79.0,484.0,2563.0
SLC2A3,257.0,533.0,406.0,1438.5,1398.5,441.0
SLC2A6,113.0,118.0,25.0,43.0,1050.0,171.0
SLC31A1,73.0,6.0,20.0,57.0,200.0,260.0
SLC31A2,14.0,138.0,62.0,1145.0,568.0,277.0
SLC36A4,330.0,215.0,95.0,43.0,729.0,269.0
SLC38A10,210.0,66.0,154.0,162.0,256.0,267.0
SLC38A6,108.0,42.0,29.0,92.0,630.0,564.0
SLC3A2,66.0,139.0,94.0,109.0,1143.0,369.0
SLC43A3,145.0,104.0,80.0,146.0,1120.0,182.0
SLC44A1,220.0,603.0,193.0,185.0,354.0,1283.0
SLC45A4,201.0,182.0,130.0,1294.0,110.0,146.0
SLC6A6,196.0,609.0,291.0,6621.0,3319.0,2294.0
SLC7A1,88.0,50.0,85.0,224.0,154.0,149.0
SLC7A11,130.33333333333334,33.0,25.0,93.66666666666667,1974.0,1041.6666666666667
SLC7A5,69.0,234.0,76.0,46.0,100.0,395.0
SLCO3A1,223.0,405.0,205.0,952.0,249.0,262.0
SLFN5,183.5,644.0,1848.5,315.5,1090.0,796.5
SMAP2,1018.0,2045.0,1215.0,8662.0,1105.0,1248.0
SMC1A,94.0,243.0,190.0,134.0,177.0,190.0
SMC2,128.0,10.0,57.0,68.0,30.0,51.0
SMC4,83.5,36.0,207.5,183.0,56.5,132.0
SMCHD1,471.6666666666667,143.0,211.66666666666666,1654.6666666666667,81.66666666666667,47.666666666666664
SMCR8,504.0,1353.0,679.0,1010.0,3036.0,1222.0
SMEK1,600.0,741.0,412.0,116.0,125.0,109.0
SMNDC1,235.0,1738.0,686.0,1153.0,941.0,342.0
SNOGENEP23,1009.0,136.0,243.0,1103.0,491.0,962.0
SNORA28,260.0,522.0,538.0,840.0,538.0,181.0
SNRPA1,572.5,854.5,333.0,90.0,134.0,184.0
SNX11,121.5,55.5,74.5,375.5,226.0,143.5
SNX15,439.0,123.0,103.0,1320.0,147.0,113.0
SNX2,1446.0,85.0,202.0,222.0,384.0,371.0
SNX9,103.5,2980.0,245.0,51.0,4520.5,668.5
SOAT1,48.0,25.0,51.0,89.0,315.0,329.0
SOCS1,67.0,113.0,187.0,25.0,369.0,43.0
SOD2,119.0,108.0,82.33333333333333,2150.3333333333335,4668.666666666667,723.6666666666666
SOS1,182.0,229.0,72.0,53.0,123.0,108.0
SP110,438.25,384.25,321.0,1872.5,220.0,113.0
SP140L,511.0,95.0,53.0,135.0,83.0,73.0
SP4,215.0,340.0,738.0,676.0,313.0,199.0
SPATS2,106.0,269.5,75.5,54.0,78.5,223.0
SPCS3,235.0,702.0,264.0,958.0,2354.0,556.0
SPDYE1,221.0,35.0,85.0,1655.0,214.0,51.0
SPI1,92.0,106.0,12.0,1376.0,129.0,545.0
SPIB,850.0,41.0,51.0,115.0,124.0,37.0
SPOCD1,104.0,33.0,10.0,12.0,72.0,1131.0
SPOPL,202.0,144.0,95.0,1391.0,454.0,195.0
SPRED1,60.0,36.0,72.0,48.0,472.0,1018.0
SPRED2,83.0,15.0,22.0,87.0,151.0,78.0
SQSTM1,150.0,136.0,172.0,220.0,3280.0,125.0
SRC,16.0,3.0,5.0,20.0,768.0,129.0
SRGAP2,103.0,236.0,150.0,489.0,333.0,339.0
SRGAP2P1,125.0,1281.0,111.0,620.0,902.0,1106.0
SRRM2,565.0,890.0,180.0,584.0,1575.0,336.0
SRXN1,247.0,102.0,429.0,3871.0,7543.0,3216.0
SSH1,118.0,140.0,168.0,255.0,476.0,282.0
SSH2,464.0,441.0,620.0,3023.0,558.0,629.0
SSR1,195.0,275.0,172.0,176.5,330.0,231.0
SSR3,110.0,834.0,295.0,113.0,410.0,828.0
ST3GAL1,46.0,333.0,248.0,206.0,917.0,189.0
ST6GALNOGENEC4,140.0,166.0,55.0,23.0,170.0,145.0
ST8SIA4,104.0,183.75,203.5,1595.5,186.75,433.5
STAB1,81.0,50.0,33.0,100.0,354.0,1302.0
STAG2,324.0,102.0,285.0,1084.0,206.0,257.0
STAMBPL1,65.0,2924.0,566.0,212.0,110.0,62.0
STAP1,772.0,63.0,34.0,40.0,38.0,33.0
STAT1,101.0,169.0,206.0,492.0,281.0,326.0
STAT4,273.0,304.0,372.0,101.0,190.0,71.0
STAT5A,320.0,141.0,92.0,351.0,170.0,195.0
STIP1,121.0,39.0,88.0,39.5,277.0,286.5
STK10,246.0,300.6666666666667,288.0,1064.3333333333333,462.6666666666667,154.66666666666666
STK17A,812.0,144.0,990.0,184.0,635.0,139.0
STK17B,565.5,638.0,1007.0,2472.5,853.5,237.5
STK38,447.0,335.0,572.0,630.0,152.0,121.0
