,CYFZ,FY2H,FLWA,453W,684C,CZJE,925L,9JD4,G4YW,4DUY,36TS,CR3L
HNRNPAB,8.515170712,8.064748826,12.83024356,9.251690464,12.73581488,8.467527332,8.739443124,11.25382861,10.89161007,10.97932373,11.01233436,9.33149458
PHYKPL,90.59579195,125.2592054,141.9745869,145.9110878,119.8940892,96.44549861,132.2633179,111.7957648,116.2114758,119.9484669,100.4048592,135.8561699
CLK4,32.32371701,49.66251496,61.40144185,61.25777781,77.17326944,53.02324156,57.65465316,55.66085696,49.47907323,79.85442178,35.48934529,73.68617651
ZNF354A,17.40236085,15.82605526,24.7926156,19.70086735,20.77102437,9.984990477,15.41357835,14.31379439,15.53956213,12.8560257,8.336533617,11.49591612
ZNF354B,6.436635443,6.09533365,3.47003339,6.65916257,4.702462002,7.746610156,6.93800305,6.795502898,4.615759817,5.792469783,2.928261737,6.459969478
ZFP2,0.990963039,0,0,0.122721969,2.129143955,4.664581647,1.402390224,0.084645285,0.101799248,0.645393054,0.663594856,0.919147746
ZNF879,3.066287988,0.503888132,7.198384614,0.322418388,6.733367992,4.913117918,7.312975175,5.095535144,4.423120313,4.047676654,2.012309585,1.929695603
ZNF354C,1.254513458,0.224929774,1.318422778,2.097070549,0.711261096,1.37769303,1.160703843,2.509028979,1.451598183,2.289236786,0.840219189,3.771798523
RP11-798K23.5,11.05394293,3.848008366,16.15335752,0,7.773909925,23.21328159,11.9625356,0.867398551,2.662893624,8.645283913,4.563902728,5.317174669
RUFY1,45.15302766,87.54178947,60.38592804,47.63962145,49.23279021,55.49169699,40.89326915,74.56589918,26.47100606,30.56165208,73.79413712,32.42300886
HNRNPH1,410.6707871,433.9558083,622.691671,538.2891523,520.131345,482.4585225,345.187549,337.4208812,339.1646213,288.8136265,389.9291139,542.8691826
CANX,161.3329972,222.0495728,188.0021766,222.9386569,187.0165192,194.8508299,194.1284106,149.3805844,148.7109852,189.9266539,179.9687411,187.2544422
MAML1,13.36436854,6.960505977,14.68621691,14.35767758,11.04950897,12.98782383,10.88693999,13.64238835,16.64076801,17.27566266,9.637007168,13.76069407
