gene,naive.B.cells,CD4.T.cells,CD8.T.cells,NK.cells,neutrophils,monocytes,fibroblasts,endothelial.cells
TNFRSF8,1.822752,0,0.01970675,0.70391525,15.23913864,79.36667835,3.0375,0
TRIM64B,0.025708738,0,0,0.17763575,0.22279525,0.003769983,0,0
PTGDR,2.248637375,1.6441906,0.8192305,190.842775,0.53546225,1.332325158,0,0
CD36,39.22938561,0.458999225,0.65732625,2.50101315,2.5602395,358.5936914,52.5275,1104.77
WDR86-AS1,1.245992375,4.5712485,2.0631885,5.12129725,0.6723395,1.318874083,0,0
RFESD,3.305385187,22.14270534,11.33303275,5.635654,0,1.028391975,0,0
SOAT2,0,0.8097766,8.288425,0,0,0.018127167,0,0
ID1,1.975446173,0.36244,0.6337545,0.70457425,4.9036545,13.22296025,0,748.7825
AP2A1,21.53979178,17.71199651,17.90623117,47.17218756,31.31683946,105.1137096,67.28,7.775
VEGFA,0.018000063,0,0,0,0.41454115,0.41476955,24.9375,34.485
DSE,5.18162715,2.252667875,2.01083268,1.777795654,6.71244255,11.32092815,2.79,11.3075
PRKAR1B,5.853338457,24.54352816,41.27656097,5.7546345,0.0578252,1.612636767,1.43,8.36
SNX29,160.167103,41.9647135,32.07053955,26.45206175,9.2559205,37.61330867,2.7025,3.285
SLC6A12,2.042632501,0.63762825,0.88671575,0.405873425,6.842274795,14.84937776,0,0
SLC38A11,18.71661011,0.203005825,0.04990075,0.150012,0.058108825,0.1018742,0,0
PTGS1,20.08628056,0.005093325,0.0056291,2.315732133,5.308923094,30.76526162,0,0
SORBS2,1.154663832,0.46606775,1.30935825,26.57702856,0.109214625,0.161977092,0,0.24
AK8,7.24505425,0.292585,0.095122675,0.5429157,0,0.0516915,0,0
OR6N2,0,0,0,0,0,0,0,0
DIXDC1,0.6473814,2.48395225,5.6862285,0.857703475,0.23883925,0.202995484,0.18,0.1725
SEMA4B,104.6780788,4.082323667,2.514051639,10.2303092,49.66055911,16.05356961,3.1125,21.0475
CYTH3,3.326774233,2.769588025,2.206179,12.84968205,1.676473623,3.941697168,0,21.4525
S100B,0.48578525,1.172735901,51.277795,9.1597225,0.25661925,1.890605,692.09,584.8475
ATP1A3,1.085501004,2.177591111,2.940369745,8.309414318,0.99797605,0.376797134,0,0
UNC13C,0.654229876,0.31394975,0.3192235,0.48515775,0.30491225,0.247024583,0,0
STAT4,6.729664875,183.3995948,336.592265,566.37813,0.928008675,6.850268723,0,1.6425
FAM46C,68.3341625,5.585715,6.7573725,30.524175,5.69805,0.921887358,0,0
SLC1A7,0.261090375,0.121752,0,17.88154013,0,0.218822575,0,0
CEACAM1,9.113950857,9.377183423,6.439335148,4.0431494,100.2908495,7.967498244,82.6125,108.545
CACNA2D2,0.542214781,2.509713863,1.64511192,5.532129575,0.034526675,0.157634102,0,0
KIAA1671,0.673669475,2.457523575,1.690784375,18.81433125,0.240624,0.449477617,0,4.765
IL23R,0.142184088,0.454160025,0.338225,0.67962175,0.146879,0.14824435,2.7425,2.7825
CYP2S1,1.171149912,0.02853805,0,1.349756328,0,11.51621717,0,0
MTUS1,0.83342165,12.42796725,21.44708643,0.321050125,0.069634,0.108318642,152.3525,52.78
COLQ,2.004362013,4.986395,10.03511675,59.323995,0.601710264,2.151204883,114.0075,0
SIGLEC1,3.656570863,0,0.0072889,0.51128155,1.89889,22.13319167,0,2.6125
TLR10,137.3361543,0.265105448,0.301920915,1.897207505,11.9049547,6.192634406,6.78,4.1225
LOXL3,3.588588981,0.41411775,0.5810745,0.54500875,3.4198572,35.19412425,25.2275,24.255
SCT,0,0,0,0,0,0,0,0
UGT2B11,0.3256755,0,0.01406835,0.786685,0.07796175,0.004274,0,0
SSTR3,0.561776375,10.96290325,10.1413515,0,0.8888344,0.042323233,0,0
SNX29P2,151.4391951,3.23633755,3.35951,8.2727975,1.24571475,3.907287967,0,0
NLRC3,15.80063391,34.4386715,35.98613275,72.6206995,0.71026025,1.138417434,7.36,22.3725
COL4A4,4.885269125,0.17780775,0.229509525,0.3366185,0,0.0912148,4.7775,0.8125
KLRF1,7.78653925,5.414713506,0.41973925,685.5915155,2.005403475,7.119113567,0,0.5575
TMEM246,0.044562238,0,0,0,1.81047805,0.064741567,0,0
GCSAML,1.626334197,0.478586875,0.696711,0.75541425,1.351528259,0.665023167,0.91,0
CRIP3,26.51243863,2.70321125,0.939593,3.68764175,1.1216665,0.814683417,0,0
GPR20,0.161248375,0,0,0,0.02301035,11.03230425,29.38,0
KNDC1,0.331870238,0,0,0.028588,0.198329,5.64577555,0,0
TCL1B,12.44780613,0.04045775,0.51608575,0.2472755,0.005576198,0.044630792,0,0
TFCP2L1,0.027604688,0.0854892,0.06649565,0.245786875,0.0033641,0.32474945,1.1875,0
CCNJL,0.497831638,0.392590675,0.32646175,8.25252085,33.72939275,0.509559875,3.43,0
KRT81,0,0,0,1.43723025,0,0.049775058,0,0
HOMER3,2.107810363,0.47458525,0.57666325,0.4673745,2.836127836,7.746624686,19.8275,0
GCNT4,0.040513425,21.458775,16.7423625,0.882945,0.080246275,0.097614,0,0
PTPRM,2.3220274,21.96319196,4.575325225,51.74609777,1.157735,2.479664275,20.045,71.78
FBLN5,0.813848325,13.6246685,10.83059925,1.279717875,0.28757925,0.136687917,52.8875,17.8575
OLFML2B,0.033013625,0.41042925,0.1596265,0.02547975,0.1311066,9.238565744,259.38,0
SREBF1,5.050369075,19.79043248,35.6796295,7.1523901,10.15373825,8.452464004,9.0575,0
LRRC4,0.179398862,0.069712575,0.303601925,0.042108125,15.692749,1.151676333,0,3.845
TXNDC5,43.1139189,1.25278825,0.630776,1.38371525,0.526414825,2.320393767,75.3825,3.3575
ECM1,0.459153784,0.10630125,0.281110464,0.174290775,0.059265,0.623754117,39.425,110.0425
SNX29P1,31.44836375,1.43416175,2.714125,3.1510975,1.90655,1.35794475,0,0
BTNL8,0.21549,0.030762,0.17064775,0.446707,128.125648,0.609561833,0,0
CUX2,0.019939875,0.1365595,0.15775855,0.0041716,0,0.002861217,0,0
