Symbol,B.cells,CD4.T.cells,CD8.T.cells,endothelial.cells,fibroblasts,monocytic.lineage,neutrophils,NK.cells
TRAV12-2,53.45449206,116.1303518,231.0750944,181.8993228,101.6627086,73.52656765,111.6911528,55.1516412
ACAP1,274.423539,635.2173058,962.6032709,15.83482585,28.01261869,258.6237191,364.8817172,481.4690095
IL3,23.71117987,998.3799902,13.71510441,16.12223815,13.6052927,18.60909983,15.94140096,139.9119914
LTB,11232.18116,13722.02561,12420.65395,120.4739525,85.91802665,484.5218646,8570.32079,20068.90585
ZBTB10,378.9098441,161.7328553,212.552572,221.0426628,97.48249997,118.8214215,44.88705793,174.9366207
CD86,307.2969168,282.7502114,123.4882559,34.52494903,28.88048309,1129.724781,118.5991355,132.176074
RNASE6,2744.911932,885.3189715,101.7561708,27.98569751,22.0131,5195.55977,3151.390814,111.4104956
SPAG4,67.83521789,114.0586754,124.1582286,98.80356391,230.9565644,70.9896194,124.3130983,109.7590602
FBN1,51.48374141,26.85235726,32.13777028,1133.135949,5472.939156,35.67348299,39.56306587,34.15910655
TARDBPP1,219.2925335,89.12948423,61.85980558,133.8786357,81.72816649,83.15116282,216.3393953,74.49890524
PVRIG,1768.895084,2014.119369,4251.633253,104.1036486,141.8425443,208.5978716,903.4164039,3693.755436
CDA,21.58697552,225.9081374,43.10499315,143.6598244,157.5491637,1554.34328,5677.45365,204.2023119
CD1B,362.7544356,109.5872987,78.27275095,151.6621159,113.5142373,189.8745087,204.4400876,92.46355828
TNFAIP6,368.3359085,86.6547891,77.94856887,153.0747183,205.7360549,2293.34138,3825.833547,945.1485483
TRBC1,1962.975765,14996.41192,16680.06113,268.5152066,15.2808356,90.27451894,1094.424546,8498.806279
ADIRF,16.71564015,25.72184971,47.62810814,96.92500833,953.3786051,21.45015656,20.81308008,17.64101795
PCDHA5,35.76330127,28.78753746,64.38155777,36.83056137,45.81865852,37.94704756,28.83761109,41.75297467
EAF2,4871.879436,457.8896427,373.517581,243.4669846,81.92755813,941.9675391,328.6599278,305.1846055
MAP4K2,27.04038844,206.1098223,76.99596131,18.66493659,19.2327181,24.56109727,24.40837786,31.29023373
MARCO,18.41432855,110.1120214,23.87823224,19.20872859,33.56161613,465.894918,21.14191321,22.7223966
MICAL3,743.0736883,187.4490343,176.4244634,117.5078746,364.8817172,39.37050429,31.27892129,160.4456342
BMP2K,109.1978775,51.71564112,29.41130349,63.92834071,127.454426,223.8328538,145.9849188,66.75749458
HRH1,198.606912,125.320852,100.2059791,234.5017263,452.9572872,155.5456808,258.8528257,82.10950951
FBXL8,16.02239651,158.465141,87.83420993,11.90050479,50.89529683,22.34469768,15.75792273,36.5543749
TCL1A,13966.09063,634.2777162,214.1791963,226.4450796,168.7074823,276.5931943,489.6336916,164.1203255
HS3ST3A1,93.66665669,45.52422741,26.71285867,20.32419779,1301.795375,31.70097666,101.898153,45.29074745
PDE6C,11.82480849,7.691319822,6.097102146,5.869963409,11.06795124,11.62745315,4.958532787,14.75332292
BCL11B,275.9746013,3748.312817,5028.534915,156.8070156,143.2043527,161.9775892,411.7660897,1007.925037
TLR2,69.43323405,622.0249641,162.243186,65.54912664,134.534125,5629.964319,5481.236451,354.9568447
C5AR1,185.5337689,709.7632597,131.8379402,71.53461631,55.686305,4810.989286,20626.92494,408.5452469
SERGEF,28.30481445,109.4643681,106.2512817,23.19668777,50.43890837,49.26181327,21.70429494,87.17320779
RAB3B,44.28355803,25.86789493,60.35881702,81.43190951,1082.725772,26.2389828,41.78773987,19.74044693
ZNF286A,768.7572248,209.5073057,241.3178907,545.3813237,228.0706208,128.8186739,682.8987856,210.1620718
LIME1,37.11730454,690.2073547,734.1829082,64.68259366,103.2280178,135.2764383,134.7683871,254.3324931
C1R,71.61212732,129.9208019,159.7737803,192.169309,1524.183763,110.1120214,136.6064469,146.2541024
CD33,47.70425885,206.6539755,44.90755313,36.90498751,22.58303004,2225.497826,64.78985565,36.41787333
CLEC4A,86.52043171,234.3583736,28.26873668,19.19701838,20.09755254,3371.324315,3165.391206,40.1435747
GPR18,4406.642409,1193.961566,1644.385625,28.01261869,38.35840604,201.94799,274.6410242,2184.411235
CCL8,354.2091987,114.2386751,109.256995,231.6446087,71.70029786,219.8895554,276.1232076,256.60743
FOXD1,104.3416388,46.41227662,82.19963396,59.79174001,4442.064274,49.34376844,103.5716512,29.37032987
IGLL3P,4535.5949,843.8554693,1114.784547,132.3035257,209.3305489,301.5842821,568.255958,468.7680257
CD8B,29.13201713,339.5101279,3305.811359,20.20641373,25.90442005,33.48377877,62.26846905,71.94074775
EPN2,22.56796072,28.66533397,23.18283383,76.51950303,104.6173701,26.81131512,23.91575634,16.1156173
CD22,427.2360843,33.56161613,24.91199759,24.67175457,17.08646116,21.90888866,22.39484059,20.22642524
FRMD4A,54.04504801,25.05660765,50.05058007,90.33473196,35.47011138,25.08301673,19.63406733,51.07256777
HIST1H2BG,31.1363657,70.75897532,59.25557609,13.28839962,24.5771093,24.82343912,70.00535669,47.87310392
TTC38,38.98702561,30.571233,34.33533545,23.44790479,32.08067495,46.90963064,64.46009129,46.27673144
PTGDR,31.84514097,46.62593652,63.48285577,15.59316012,13.78098959,17.54961649,20.90712112,82.62595032
ZBTB32,24.40125148,149.3152084,53.75964061,22.3862179,21.27978387,19.96226317,27.1455712,67.4464467
CYP27B1,1265.498533,209.3068302,233.0513229,335.9113913,164.0401891,304.5176708,633.2135392,171.6389959
IL26,15.51921226,154.0551215,28.92643516,15.80266397,22.47267426,7.574118305,28.51662888,27.35540036
P2RX5,96.74411442,376.8066307,298.7207488,57.0316759,245.4336621,297.7088929,65.21693085,367.2039375
HSPB2,18.44774335,21.04747867,21.16586639,31.06885129,750.7458743,25.94083889,22.95940116,18.95392827
UBASH3A,19.11062631,877.0910466,1310.773222,20.61015665,11.2954762,14.01158055,21.29480893,20.0798043
CTSG,366.4985202,170.0978719,258.7618691,115.7144836,99.93986375,177.1523191,223.668324,584.4173307
CD209,66.6472889,47.33760318,39.78588955,151.3535835,74.95696262,115.4770467,169.7494247,69.07692633
IL12RB2,33.66249659,393.2839362,161.7328553,40.93408756,51.07256777,54.18784575,24.91199759,2230.022165
DHX58,25.8372826,102.3117047,150.6612721,33.99653359,34.52494903,129.8341077,33.60535787,387.3095289
FLT3LG,42.35295563,933.0326697,1368.51712,18.55818854,67.85848662,64.56586625,26.06050015,437.6934629
CCL14,349.1665553,121.5811804,140.4680055,7233.883549,180.9382307,211.0845138,370.3028346,236.4855456
GZMB,182.1920328,7684.037748,2553.631234,257.2195947,85.16363692,109.0942178,357.0272778,29912.96326
KLRD1,247.0631129,425.3470072,839.4837385,74.7134924,95.53654439,97.71511594,261.2843894,2003.109837
