,Lin-_1,Lin-_2,MNC_1,MNC_2
209666_s_at,282.5162894,264.1203895,411.5709287,416.2704904
209667_at,349.8524847,372.7097919,333.2836785,366.9801056
209668_x_at,211.4243437,206.4115862,207.7474457,224.856794
209669_s_at,2898.942294,2687.598472,1236.261482,1159.767996
209670_at,258.8526141,261.2246924,2145.277509,1940.382968
209671_x_at,238.7116334,241.9826735,2333.454288,2142.077607
209672_s_at,54.71448789,65.77101852,37.10715583,41.60657085
209674_at,216.8367052,223.9646395,213.2787155,228.0495322
209675_s_at,652.6371592,632.539692,647.0897962,595.354232
209676_at,42.55162235,52.26008642,15.81399512,14.73210421
209677_at,17.30760679,14.01829577,13.70101753,13.604596
209678_s_at,1065.17399,1066.18812,485.9413304,453.6938727
209679_s_at,153.0717363,165.6232218,143.6294042,164.1950432
209680_s_at,176.4451033,198.9568899,99.39979567,95.91204426
209681_at,535.7025881,478.5181438,329.4343927,355.311671
209682_at,300.154778,312.8224761,567.2675601,537.1568837
209683_at,79.26385282,79.59781985,347.1199568,367.2395687
209684_at,214.3382504,216.5284765,826.9883036,753.5116818
209685_s_at,2330.943987,2449.184557,4158.183337,3532.156198
209686_at,62.3943092,64.29682622,563.0848384,533.6735129
209687_at,44.04099818,44.68932976,40.73886992,38.51145313
209688_s_at,1221.456714,1164.758911,1470.226799,1302.912156
209689_at,634.5427197,624.1128004,720.0771524,693.9711612
209690_s_at,73.67289083,66.65927685,59.00134721,55.32304383
209691_s_at,1282.731847,1295.909032,509.5510131,428.2141026
209692_at,24.41521849,26.20063363,26.58180395,25.53376637
209693_at,52.75661548,57.78715663,46.74033948,51.75785271
209694_at,471.8519691,461.3365803,315.8005887,355.0463211
209695_at,202.5386371,214.652056,242.5441812,260.0455813
209696_at,55.30682711,61.43499023,264.5668704,288.7514758
209697_at,54.66202666,64.00067819,67.44316915,67.12316265
209698_at,311.6808672,314.5870346,204.4698915,212.8273323
209699_x_at,337.23185,321.0860094,114.5965045,119.8594768
209700_x_at,33.64072771,29.17423249,37.30522833,45.06649596
209701_at,88.98787429,97.73109277,225.2481216,240.5759037
209702_at,2172.55678,1966.58575,1327.130697,1187.323644
209703_x_at,102.4616983,96.53389851,122.4473251,118.6881942
209704_at,257.0442277,283.9332415,156.7348283,190.0883213
209705_at,704.0668101,756.2590409,520.3766899,499.0951667
209706_at,49.89456043,30.17671602,26.07070756,25.42966654
209707_at,537.6499468,458.6547596,590.822007,569.1713343
209708_at,33.36896262,51.14693452,34.12126326,38.98183167
209709_s_at,277.1358737,267.2507063,94.11469725,118.884029
209710_at,5585.402311,4898.505358,885.6189727,773.7089075
209711_at,185.6316014,163.3528075,166.2671241,184.3675576
209712_at,231.1319437,225.0262958,255.689,239.4573538
209713_s_at,61.70645769,68.24526668,71.252676,80.83118356
209714_s_at,381.5220362,399.5172941,156.6817512,164.0730105
209715_at,424.2844131,459.3899398,180.3878827,181.4167618
209716_at,320.0072206,310.8815472,103.6862472,122.2248586
209717_at,114.4513903,131.5619216,338.5649434,316.6337506
209718_at,182.9235183,177.4743581,153.1986669,159.5632151
209719_x_at,11.67127773,11.95284227,10.83487406,13.03822549
209720_s_at,12.03918538,9.698044456,9.379024454,10.95486701
209721_s_at,402.5879291,392.240447,702.6133591,711.387732
209722_s_at,22.12005092,26.34541818,32.10784567,26.7151272
209723_at,1202.850624,1030.578235,1228.71438,1024.653248
209724_s_at,358.4943004,383.8882968,498.6052131,453.3929538
209725_at,209.8512978,229.7334268,111.0980554,145.9012575
209726_at,37.20545069,39.67922234,44.02408097,52.80733358
209727_at,57.75728684,50.79919857,73.62970744,75.09216962
209728_at,32.78607968,36.16464428,37.51428699,32.89597424
209729_at,314.0423029,329.8240096,265.6350263,266.0604305
209730_at,72.01902105,69.51180486,68.11412667,71.69289636
209731_at,258.2607064,273.566202,131.8664118,147.0903774
209732_at,3675.232812,3091.789288,4856.44366,4339.222602
209733_at,19.14991057,19.38526621,18.73744337,18.22992067
209734_at,1637.506078,1565.622995,1692.516686,1502.320759
209735_at,67.48249258,74.01039066,171.5558637,175.2175774
209736_at,85.53805758,93.40714002,101.7641286,84.46137156
209737_at,108.2772272,125.0975321,29.59294005,26.14184371
209738_x_at,17.44676362,12.40045623,15.4787894,16.1653327
209739_s_at,471.9253607,454.3782881,210.9279556,239.4171969
209740_s_at,105.2360816,94.41021624,64.73235777,81.55951338
209741_x_at,121.3066898,142.7864433,165.6778701,179.5957353
209742_s_at,21.87030551,20.13638473,17.90528684,18.83101676
209743_s_at,80.41213988,85.37137447,139.2875565,166.0414099
209744_x_at,173.3159363,165.7353354,355.6836876,333.5237002
209745_at,574.515506,542.284986,426.0546779,400.5339417
209746_s_at,119.2250609,116.0872145,82.64356715,98.68369566
209747_at,166.067762,182.1874895,137.9498838,155.1985665
209748_at,484.8248862,510.6149761,539.4828172,512.0521403
209749_s_at,38.24506358,39.16373372,28.59363138,27.06739908
209750_at,162.2855257,150.5352445,123.6353924,133.4515139
209751_s_at,728.0218772,716.5620978,589.6590633,611.5146314
209752_at,32.67663293,27.25700996,34.49436282,29.00774986
209753_s_at,154.0817726,152.6624852,149.9031685,167.3816848
209754_s_at,28.65942337,23.16602869,20.12093275,24.06496056
209755_at,18.51477892,18.04872011,27.64586687,26.78050866
209756_s_at,63.81163019,61.11989441,70.62114609,70.35162658
209757_s_at,1105.487048,1174.417956,128.990373,126.920457
209758_s_at,22.22953509,17.97565801,17.53253845,19.17222509
209759_s_at,197.8725732,217.3884625,112.1893731,122.8574952
209760_at,668.0113176,663.1299092,1847.591811,1726.569369
209761_s_at,1002.472216,899.7073057,2353.572035,2154.246848
209762_x_at,868.9349391,892.5294814,2054.989235,1778.866086
209763_at,170.2111176,152.4793817,40.87516328,43.54263539
209764_at,246.0770229,217.1945974,136.8033273,155.1992031
209765_at,807.2601123,818.062586,3960.318848,3461.634953
209766_at,65.23602864,75.2258738,62.37704863,68.21350311
209767_s_at,284.2529935,269.3952304,165.4584369,184.083983
209768_s_at,51.18574878,85.81047852,69.63019204,76.34058426
209769_s_at,115.3001595,142.2102908,184.4365414,135.2393701
209770_at,968.0365754,868.185178,3252.094622,2771.169369
209771_x_at,374.9762618,458.374749,6722.527948,5659.687669
