	Lin-_1	MNC_1
201071_x_at	3587.470971	4608.648718
201072_s_at	338.9743826	199.589663
201073_s_at	192.6761438	135.3445055
201074_at	2082.931172	1147.064777
201075_s_at	830.8112929	420.0831281
201076_at	4284.568034	1987.635151
201077_s_at	5292.847763	2142.276924
201078_at	752.8157258	1186.312807
201079_at	1271.749476	1183.241442
201080_at	986.9235304	427.3566475
201081_s_at	105.8940579	99.61219121
201082_s_at	900.2239954	618.3715396
201083_s_at	248.5939002	207.4553486
201084_s_at	1667.254575	1216.838274
201085_s_at	2674.001755	2640.686648
201086_x_at	3709.179392	4312.049711
201087_at	346.7784835	2469.731341
201088_at	618.6834918	732.7341868
201089_at	792.0770528	2999.297389
201090_x_at	7795.239967	5039.657968
201091_s_at	2112.210882	1536.002591
201092_at	3312.78487	1488.56242
201093_x_at	3350.966249	1668.177942
201094_at	20543.6977	16884.00189
201095_at	537.3405542	393.6324266
201096_s_at	668.8661169	797.3838102
201097_s_at	2592.030448	2805.362122
201098_at	1805.752357	1560.690867
201099_at	2191.435784	2530.424943
201100_s_at	2224.339085	3048.990341
201101_s_at	582.3922107	461.406052
201102_s_at	229.042747	182.6386836
201103_x_at	2114.899173	3412.264649
201104_x_at	336.2369237	568.1395144
201105_at	1527.740779	3145.313038
201106_at	2042.484238	1106.613615
201107_s_at	67.10752477	94.00884518
201108_s_at	305.8901658	238.0626986
201109_s_at	94.06691801	124.6786889
201110_s_at	202.0499452	398.3087847
201111_at	1430.983384	467.2583776
201112_s_at	2361.727507	903.6939966
201113_at	3024.540172	1358.845027
201114_x_at	3557.911522	2470.921069
201115_at	1603.523084	409.0847727
201116_s_at	24.08985821	18.4197669
201117_s_at	15.33026728	13.48413626
201118_at	1260.859747	2806.467772
201119_s_at	5100.108108	4182.925504
201120_s_at	112.5992985	62.03775426
201121_s_at	2186.406979	1029.036122
201122_x_at	397.5483114	236.4469444
201123_s_at	211.5331033	106.6724811
201124_at	43.80766892	32.19473392
201125_s_at	310.4251768	239.7871374
201126_s_at	927.9239163	1966.380027
201127_s_at	451.945952	461.5242999
201128_s_at	704.0337242	613.5623494
201129_at	1096.955573	753.0665266
201130_s_at	33.55828791	33.21004844
201131_s_at	313.4477703	123.1022044
201132_at	1297.480792	1741.511104
201133_s_at	266.6863794	618.8780938
201134_x_at	11147.4203	8330.153135
201135_at	2990.260559	967.6567705
201136_at	2409.11617	5178.772746
201137_s_at	7880.692167	7453.205928
201138_s_at	2562.524511	1090.51077
201139_s_at	6967.085999	3069.286254
201140_s_at	728.6516971	1158.353868
201141_at	78.74738287	50.74767587
201142_at	1088.113935	871.0183269
201143_s_at	621.7336061	568.1246361
201144_s_at	1799.522284	917.0259435
201145_at	1871.034151	1333.093219
201146_at	336.5132777	777.6260323
201147_s_at	320.5057503	61.60522116
201148_s_at	541.6588405	108.9611053
201149_s_at	59.18441916	33.36856303
201150_s_at	954.4135302	98.82486896
201151_s_at	154.0578883	212.4304608
201152_s_at	1591.713454	1835.234542
201153_s_at	4319.527451	5394.562671
201154_x_at	20984.97104	16233.92258
201155_s_at	639.3672	924.4762949
201156_s_at	302.8965107	585.4175461
201157_s_at	1005.422678	871.7197807
201158_at	980.4508204	671.5766264
201159_s_at	250.0924805	195.6462455
201160_s_at	2835.870529	2521.325956
201161_s_at	1378.192747	1162.326115
201162_at	883.464796	339.9152947
201163_s_at	583.3756712	297.9161435
201164_s_at	328.3056521	272.1349709
201165_s_at	822.7062176	818.2390064
201166_s_at	2392.961578	2152.205935
201167_x_at	262.9550479	273.2331141
201168_x_at	317.6837242	326.8706432
201169_s_at	67.25854845	71.86986134
201170_s_at	623.207741	1364.773778
201171_at	2492.605754	5117.695986
201172_x_at	3398.704094	6074.646362
201173_x_at	2612.744752	1178.65187
201174_s_at	1866.162903	2830.412466
201175_at	1968.340041	1112.788552
201176_s_at	2388.140236	2614.706347
201177_s_at	1156.042215	712.6039898
201178_at	5585.959378	4902.159954
201179_s_at	377.4622768	1140.777256
201180_s_at	1421.02226	1440.006559
201181_at	288.5788605	674.8448428
201182_s_at	222.7796959	153.9770975
201183_s_at	689.4017197	341.4341298
201184_s_at	658.8281783	416.3917724
201185_at	22.32794566	28.22707201
201186_at	722.9973801	1215.982119
201187_s_at	67.76372386	94.02255848
201188_s_at	94.37180202	141.1201374
201189_s_at	82.41367532	192.7978254
201190_s_at	452.4739693	569.9611864
201191_at	510.1754765	739.5179503
201192_s_at	374.0350233	1416.778156
201193_at	921.7411844	917.8018448
201194_at	1254.934895	869.6381152
201195_s_at	826.4330936	965.972162
201196_s_at	1376.388763	886.5036605
201197_at	2584.778415	1813.2273
201198_s_at	307.6193539	186.1066275
201199_s_at	3849.498856	2229.765131
201200_at	2714.971576	1953.913706
201201_at	1775.281966	2670.09762
201202_at	1478.233367	537.1894364
201203_s_at	92.89129096	88.97398712
201204_s_at	584.3098526	394.1813044
201205_at	218.7816963	215.078985
201206_s_at	280.7035853	187.4473037
201207_at	452.292544	353.079929
201208_s_at	79.23110936	72.2929675
